English,Manx,Notes,Page,English Original,Manx Original
"Now them that are such we command and exhort by our Lord Jesus Christ, that with quietness they work, and eat their own bread.","[MS 2 Thessalonians 3.12] Nish ta shin dy haara & dy choarlaghey nyn leid shoa [22] Liorish nyn Chiarn Yeesey Chreest, dy jen ad gobbyraghey lesh Fea, & gee nyn Arran ock hene.","ta shin […] shoa] adsyn ta nyn leid ta shin dy haarey, as cur raaue daue > dauesyn ta nyn leid ta shin cur saarey, as raaue; Liorish] [L underlined]; Chiarn] Jiarn; Chreest] Creest; jen] jean; gobbyraghey lesh] gobbraghey ayns; Fea] [F underlined]; nyn] yn; Arran] [A underlined]",21,,
"But ye, brethren, be not weary in well doing.","[MS 2 Thessalonians 3.13] Agh shiuish, Vraaraghyn, nagh bee jee Skee ayns jannoo mie,",nagh] [underlined]; Skee] liastey,22,,
"And if any man obey not our word by this epistle, note that man, and have no company with him, that he may be ashamed.","[MS 2 Thessalonians 3.14] As my ta Dooinney erbee nagh vell chourt bialys da’n Goo ayn liorish e Scriuyn shoa, cron-jee yn Dooinney shen, as nagh freil jee Sheshaght marish, dy vod eh ghoail [?]Niearey.",Dooinney] [D underlined]; vell] vel; ayn] ain; e Scriuyn] y screeyn; shoa] sho; Dooinney] [D underlined]; nagh freil jee] ny [?]su jean-jee; marish] rish; ghoail Niearey] goaill nearey,22,,
"Yet count him not as an enemy, but admonish him as a brother.","[MS 2 Thessalonians 3.15] Ny yeih nagh coond shiu eh myr Noid, agh jen jee eh y choayrlaghey myr Braare.",nagh coond shiu eh] ny jeeagh-jee er; jen jee eh y choayrlaghey] coyrlee-jee eh; Braare] [B underlined],22,,
Now the Lord of peace himself give you peace always by all means. The Lord be with you all.,"[MS 2 Thessalonians 3.16] Nish dy jen y Chiarn dy Hee, Shee y chourt diu dy braagh, liorish dy chooilley haase. Yn Chiarn dy rou meriu ooilley.",jen] jean; Chiarn dy] Chiarn hene dy; Hee] [H underlined]; y chourt] ’choyrt; braagh] kinjagh; liorish dy chooilley haase] er dy chooilley aght; Yn] Dy row’n; dy rou] [deleted],22,,
"The salutation of Paul with mine own hand, which is the token in every epistle: so I write.","[MS 2 Thessalonians 3.17] Yn Oltaghey Bea jeh Paul lesh my Lhaw hene, yn Cowrey ayns dagh Scriuyn: myrsen ta mee scriu;",Yn Oltaghey […] hene] Bea as slaynt hiu voym’s Paul fo my laue hene; yn Cowrey] t’an Cowrey; dagh Scriuyn] dy chooilley screeuyn; myrsen] shen myr,22,,
The grace of our Lord Jesus Christ be with you all. Amen.,[MS 2 Thessalonians 3.18] Graase nyn Jiarn Yeesey Creest dy row mêriu ooilley. Amen.,Graase] Grayse,22,,
,Dan. Gelling 1766 –,,22,,
,Malew –,,22,,
,[23],,23,,
,1. & 2 = Thess: [?]pr ,,23,,
,Mr. Gelling – Engrossed,,23,,
