Manx,English,Notes,Page,Manx Original,English Original
"Q. Cre shegin dou, eisht, y yannoo dy voddym Credjal fegooish dooyt erbee, dy nee Jee ta reill dy chooilley nee ; as dy voddym ve booiagh lesh cre erbee Te dy yannoo er my hon, son y chooid shaar ? ","Q. What then must I do, that I may believe, without any doubt, that God governeth all things, and that I may cheerfully submit to whatever He doth, as the best ?",,93,,
"A. Shegin dhyt dy mennick smooinaght ayd hene ; nagh vod Jee aggair y yannoo da e Chretooryn hene, son cha beagh eh er chroo ad, dy beagh feoh echey orroo. ","A. You must often consider, that God cannot do Wrong to his Creatures, which he would not have made, if He had hated them.",,94,,
"Cooinee ; dy vel ny deney scraauee goaill rish Cairys as miys Yee, dy jarroo, tra te dyn gerragh ad. ","Remember ; that the best Men do own the Justice and Goodness of God, even when they smart under his Hand. ",,94,,
"Smooinee er cre cha moayll as ta dty hushtey hene, as, myr honnick oo hoshiaght yn arroo tilgit ayns y Thalloo, ga dy rou eh ayns faikin dhyts myr dy beagh eh tilgit er Sooyl, ny yeih, cha voddagh oo agh smooinaght dy rou Resoon ocsyn ren eh er eh hon, son dy rou ad ny screeney na uss ; my nee oo smooinaght myr shoh jeh Jee, hig oo, ec y jerrey, dy ve feer vooiagh lesh ooilley ny te dy yannoo, ny surral dy ve jeant, as cha bee oo, dy bragh, jummoogh jeh aghtyn y Chiarrail flaunyssagh echey. ","Consider how short your own Knowledge is ; and, as when you first saw Corn flung into the Ground, tho’ it did seem to you to be lost, yet you could not but think, they that did it had Reason for it, because they were wiser than you ; If you think so of God, you will at last come to be well pleased with whatever he doth, or permits to be done, and never to murmur at the Ways of His Providence.",,94,,
"Q. Ga dy nee my churrym, dy ghoaill aggle roish Jee er skyn dy chooilley nee, ny yeih, ta mee dy mennick ny sagglee roish ny Leihaghyn, as roish corree my Chaarjin, na ta mee roish Jee. ","Q. Though it is my Duty to fear God above all Things, yet I am often more afraid of the Laws, and the Anger of my Friends, than of God.",,94,,
"A. Agh cha bee oo myr shen, my nee oo streeue dy reayll ayns dty Chree, dy vel ny sooillyn echyssyn kinjagh ort ; Dy vel e cherraghey feer trome. Dy vel eh red aglagh da Peccagh, dy huittym fo’n jummoose echyssyn ren y chroo eh. Smooinee dy mennick er shoh, as ynsee oo dy ve ny sagglee roish Jee na roish y Vaase. ","A. But you will not be so, if you strive to keep it in your Heart, That his Eyes are ever upon you ; That his Judgments are very terrible. That it is a fearful thing for a Sinner to fall under the Displeasure of his Maker. Think much of this, and you will learn to fear God more than Death.",,94,,
Q. Cre’n aght shegin dou gynsagh dy chur graih da Jee ? ,Q. How must I learn to Love God ?,Error repeated from 1707.,95,Q. Cree’n aght shegin dou gynsagh dy chur graih da Jee ? ,
"A. Smooinee ayd hene, cre’n aght haink oo dy ve graihagh er dt’Ayr as dty Voir ; nagh nee son dy rou cliaghtey dy roih huc er dy chooilley oyr, as hooar oo ad kinjagh arryltagh dy chlashtyn rhyt as dy chooney lhiatt ? ","A. Consider how you came to Love your Parents ; was it not because you were used to go to them upon all Occasions, and found them always ready to hear and to help you ?",,95,"A. Smooinee ayd hene, cre’n aght haink oo dy ve graihagh er dt’Ayr as dty Voir ; nagh nee son dy rou cliaghtey dy roih huc er dy chooilley oyr, as hooar oo ad kinjagh arryltagh dy chlashtyn rhyt as dy chooney lhiatt.",
"Cammah ; nish jean smooinaght dy dowin nagh voddagh dt’ Ayr as dty Voir cooney lhiatt fegooish Bannaght Yee ; cha voddagh dty Voir ee hene y reayll nagh beagh ee er ny livrey jeeds roish y tra ; as tra rug oo, cha voddagh ee oo y reayll veih drogh haghyrtyn, veih Chingys, ny veih Baase. She Jee t’er dty choadey, ta dy dty chuirrey dy eamagh er ayns ooilley dt’eime ; t’er yialldyn dy chlashtyn rhyt, dy reggyrt oo, as dy ve ny Ayr dhyt, as my ver oo biallys da, nee eh oo Bannit son dy bra. ","Why, now consider that your Parents could not help you, without God’s Blessing ; your Mother could not hinder herself from Miscarrying of you, and, when you were born, she could not keep you from sad Accidents, from Sickness, or from Death. It is God who hath preserved you, who inviteth you to call upon him in all your Wants, hath promised to hear, to answer, and to be a Father to you, and, if you obey Him, to make you happy for ever.",present in 1707.,95,"Cammah ; nish jean smooinaght dy dowin nagh voddagh dt’ Ayr as dty Voir cooney lhiatt fegooish Bannaght Yee ; cha voddagh dty Voir ee hene y reayll nagh beagh ee er ny livrey jeeds roish y tra ; as tra rug oo, cha voddagh ee oo y reayll veih drogh haghyrtyn, veih Chingys, ny veih Baase. She Jee t’er dty choadey, ta dy dty chuirrey dy eamagh er ayns ooilley dt’eime ; t’er yialldyn chlashtyn rhyt, dy reggyrt oo, as dy ve ny Ayr dhyt, as my ver oo biallys da, nee eh oo Bannit son dy bra. ",
"Jean er-y-fa shen soiagh jeh’n Cuirrey graysoil shoh ; Gow padjer gys Jee son ny t’ow dy laccal, as ver oo graih da, cha dooghyssagh as ta Lhiannoo dy chur da e Voir ta dy hroggal eh. ","Do you therefore accept of this gracious Invitation ; pray to God for what you want, and you will love Him as naturally as a Child doth the Parents that nourish him.",,95,,
"Q. Agh, ga dy nee my Churrym eh, dy eamagh er Jee as dy chur ooashley da, ny yeih, ta mee gennaghtyn niau-arryltys ayns my ghooghys dy yannoo myr shen. ","Q. But, though it is my Duty to call upon, and worship God, yet I find a backwardness in my Nature to do so.",,95,,
"A. Foddee shen y ve ; ny yeih, jean red ennagh noi dty ghooghys ; Freaill dty Chree glen, as smooinee er dty laa jerrinagh, as Guee kinjagh son ooilley dty niau-arryltys as dty Chliaghtey ; as nee grayse Yee shen yn eunys ayd, ta nish ny errey dhyt. ","A. That may be. However, do something against your Inclinations ; keep your Heart clean, and your Thoughts upon your latter End, and pray constantly, notwithstanding your Unwillingness and Custom, and the Grace of God will make that a Delight, which is now a Burden.",,95,,
"Q. Ta fyss aym dy vel resoon aym dy chur booise da Jee, as foast cha vel taitnys mooar ayns my chree gys e Vannaghtyn. ","Q. I know I have Reason to give God thanks, and yet, my Heart is not much affected with his Blessings.",,96,,
"A. Shen-y-fa, shegin dhyt dy mennick smooinaght er e Ghiootyn, as tra t’ow geddyn bannaght erbee, chyndaa dty smooinaght chelleeragh gys Jee, as abbyr ; Ta’n vyghin shoh veihsyn ; she eshyn ta cur Caarjin dou ; eshyn ta dy my chur er my hoshiaght ayns y raad ta mee shooyl ; She Jee t’er chur my lhaaint dou reeisht ; She eshyn ta cur m’aash dou dy chooilley Oie lesh cadley, as ta dy my choadey dagh laa veih Gaaue. Jean shoh, as ver oo booise da cha dooghyssagh as hirrys oo e Vannaghtyn. ","A. Therefore, you must often think of his Favours, and when you receive any Blessing, turn your Thoughts forthwith towards God, and say ; This Mercy is from Him ; It is He that gives me Friends ; It is He that prospers me in the Way I go ; It is God who hath restored me to Health ; It is He that refreshes me every Night with Sleep, and every Day preserveth me from Danger. Do this, and you will as naturally return Him Thanks, as desire his Blessings.",,96,,
"Q. Ta fyss aym dy nee my churrym eh, Dy chur my slaane Treishteil ayns Jee ; agh voddym shoh yannoo tra te liggey dou tuittym ayns seaghyn ? ","Q. I see it is my Duty To put my whole Trust in God ; but is it possible for me to do so, when he suffers me to fall into Affliction ?",,96,,
"A. Foddee, dy jarroo. As ta sleih mie rieau er yannoo shen. Ga dy mar eh mee, ny yeih, treishtym ayn, dooyrt Job. ","A. Yes, sure. Good Men have always done so. Though he slay me, yet will I Trust in him, saith Job.",Job 13. 15.,96,,
"Cooinee, dy vel eh mie dy ve ayns seaghyn, tra hee Jee eh ymmyrchagh ; er aght elley cha vel boggey echey ayns trimshey e chretooryn. ","Remember, that it is good to be in trouble, when God sees meet, who otherwise doth not delight in the Miseries of his Creatures.",Psal. 119. 71.,96,,
Q. Cre ta my Churrym tra ta Jee lie e laaue orrym ? ,Q. What will be my Duty when God shall visit me ?,,96,,
"A. Dty Churrym eh, dy ve Surransagh, dy vriwnys dty raadjin, as dy hyndaa chelleeragh gys Jee, as dy ghuee dy jean eh, liorish Seaghyn y Vea shoh, dty haarn gys Bea Shaar, as cur tooai nagh shir oo son cooney veih’n Jouyl, myr t’adsyn ta cliaghtey er Oallyssyn, tra ta’d hene ny nyn gooid ayns feime. ","A. It will be your Duty to be patient, to consider your Ways, and to turn to God immediately, and pray that he may make the Troubles of this Life a means of bringing you to a better ; and beware of seeking Help from the Devil, as they do, who make use of Charms, when they, or their Goods, are in Distress.",,96,"A. Dty Churrym eh, dy ve Surransagh, dy vriwnys dty raadjin, as dy hyndaa chelleeragh gys Jee, as dy ghuee dy jean eh, liorish Seaghyn y Vea shoh, dty haarn gys Bea Shaar, as cur tooai nagh shir oo son cooney veih’n Jouyl, myr t’adsyn ta cliaghtey er Oallyssym, tra ta’d hene ny nyn gooid ayns feime. ",
"Q. Negin dou neeisht treishteil ayns Jee, as Credjal dy vel eh kiarralagh jeem, tra ta mee ayns Boghtinyd ? ","Q. Must I also trust in God, and believe that he careth for me, though I am in Poverty ?",,97,,
"A. Shegin dhyt. Son cha vel Berchys kinjagh courey jeh Foayr Yee, ny Boghtinyd jeh e Yummoose.","A. You must do so. For Riches are not always a Sign of God’s Favour, nor Poverty of His Displeasure.",,97,,
"Cooinee er cre’n Breearey hug Jacob ; My vees Jee marym, as my ver eh arran dou dy ee, as Coamrey dou dy chur y mooym, Eisht bee’n Chiarn y Jee aym. ","Remember the Resolution which Jacob made, If God will be with me, and give me Bread to eat, and Raiment to put on, then shall the Lord be my God.",Gen. 28. 20.,97,,
"Son gerjagh dhyt hene, as dy niartagh dty credjue, gou ayd hene, dy nee obbyr Yee shoh, dy vod e lhiaasagh fondagh y chur dhyt ayns y teihll ta ry heet, son ny t’ow dy ymmyrch ayns y teihll shoh. ","To comfort yourself and confirm your Faith, consider, That this is the Work of God ; That he can make you sufficient amends in the next World, for what you want in this. ",1 Sam 2. 7.,97,,
"Dy vel ny Boghtyn, liorish Jee hene, er nyn enmys dy ve Eiraghyn y Reeriaght echyssyn. ",That the Poor are expressly declared to be Heirs of his Kingdom.,Jam. 2. 5.,97,,
"Dy vel, dy jarroo, Sooillyn Yee kinjagh er y Voght ; son dy vel eh cha mennick er Saarey feallagh elley dy ghoaill kiarrail jeh. ","That, to be sure, God hath his Eye continually upon the Poor, because he hath so often commanded others to take Care of them.",,97,,
"Smooinee er ny reddyn shoh, as bee oo booiagh lesh y staaid t’ow ayn, as cha shir oo y yannoo ny Shaar eh, liorish aghtyn aggairagh. ","Think of these Things, and you will be content with your Condition, and not desire to better it by unjust Ways.",,97,,
"Cha jean oo troo mish ny Berchee, ny foill y gheddyn da Miys Jee. ","You will neither envy the Rich, nor question the Goodness of God. ",,97,,
Q. Vel ny Berchee whooish kainlt dy hreishteil ayns Jee as ta ny Boghtyn ? ,Q. Are the Rich as much bound to trust in God as the Poor ?,,97,,
"A. Tar ad. Son gys Jee ta’d cur nyn marrant, dy jean nyn merchys mie daaue, as dy jean ad fuirraght oc ; Son ta Berchys jannoo Skeeanyn daaue hene as getlagh er sooyl. As she Jee ta cur pooar da dooinney dy ghoaill solley jeh ny te er gheddyn.","A. They are. For they depend upon God, both for the Enjoyment, and Continuance of their Riches ; For Riches make themselves Wings, and fly away. And it is God who giveth a Man Power to enjoy what he hath gotten.","Prov. 23. 15.
Eccles. 5. 19.",97,,
"As shen-y-fa, ta Berchee er nyn saarey gyn ve ard-aignagh, ny treishteil gys berchys niau-hickyr, agh ayns y Jee bio. ","And therefore rich Men are commanded, Not to be high-minded, not to Trust in uncertain Riches, but in the Living God.",1 Tim. 6. 17.,98,,
"Dy chur aarn jeh nyn gooid da’n Voght, myr feeaghyn ta cair da. Dy ve booisal, as gyn nyn maarail ad er nyn yeearreeyn Saaintoil. ","To give of their Substance to the Poor, as a Debt due to him. To be thankful, and not to spend them upon their Lusts.",Prov. 3. 27.,98,,
"Q. My churrym, dy chur ooashley da Ennym casherick Yee as da ’ghoo ; Cre’n aght nee’m shen ? ",Q. It is my Duty to honour God’s holy Name and his Word ; How shall I bring myself to do so ?,,98,,
A. Cur tooai nagh loayr oo jeh Jee agh tra t’ow dy jarroo smooinaght er. Cooinee dy mennick dy vel eh dy dt’aikin ; as myr shen bee oo agyndagh dy yannoo shen smoo vees gys Ooashley yn Ennym echyssyn. ,"A. Take Care not to speak of God but when you are serious. Consider often that He seeth you, and so you will be apt to do what is most for the Honour of his Name.",,98,,
"As my nee oo dy mennick cooinaght, dy vel Jee er livrey dooin Liore e ghoo hene, dy ynsagh shin cre lhiasagh shin y Chredjal, as cre’n aght lhiasagh shin Beaghey, dy gheddyn Maanrys vees dy bragh farraghtyn ; as dy vel dty Haaualtys lhaie er tushtey ve ayd jeh ny t’ayns y Liore shen : Cre erbee’n tra t’ow dy lhaih ee, ny clashtyn ee lhait, eashtee oo ree dy imnea-agh ; shirree oo geiyrt er y choyrle ta-ee dy chur dhyt ; cha jig oo harrish aarn erbee jee, agh gys ymmydyn creeney as craauee. As myr shen bee arrey ayd ayn, as ver oo Onnor da e Ghoo casherick. ","And if you often remember, that the Bible is a Book given by God, to teach us what we are to Believe, and how we are to Live, that we may attain eternal Happiness ; And that your Salvation depends upon knowing what that Book containeth : Whenever you read, or hear it read, you will attend to it carefully, endeavour to follow the Directions it gives you, never repeat any Part of it, but to Serious and Holy Purposes, and so you will delight in, and honour His Holy Word.",,98,,
"Q. My Churrym eh, dy hirveish eh dy firrinagh ooilley laghyn my Vea ; Agh nagh jean obbraghyn ymmyrchagh my lhiettal veih whooish y yannoo as t’er ny hirrey orrym ? ",Q. It is my Duty to serve Him truly all the Days of my Life. But will not necessary Business hinder me from doing so much as is required of me ?,,98,,
"A. Cha jean. Foddee cre erbee ta Jee dy hirrey er dooinney erbee y yannoo, ve jeant, fegooish e obbraghyn Seihltagh y liggey shaghey. ","A. No. Whatever God requireth of any Man may be done, without neglecting his worldly Business. ",,99,,
"Yn Laa ayns shiaght t’ow er dty lhiettal veih laboraght ; jean ny ta currym ayd y yannoo er y laa shen, as shaghyn tammylt beg dy chooilley Voghrey as Fastyr, dy chur moylley gys Jee, as dy yeearree e vannaghtyn ; as eisht, tra t’ow ec dty obbyr gagh laa, t’ow shirveish Jee cha firrinagh, as cha shickyr er y raad gys Niau, as t’adsyn t’ec nyn Badjeryn ; As foddee oo shoh y yannoo ooilley laghyn dty Vea. ","One day in seven, you are forbid to Labour ; do what you are commanded on that Day, and spare a few Minutes every Morning and Evening to praise God, and to ask his Blessing ; and then when you are at your daily Labour, you are serving God as truly, and you are as certainly on the way to Heaven, as they who are at their Prayers. And this you may do all the Days of your Life.",also an erorr in 1707,99,"Yn Laa ayns shiaght t’ow er dty lhiettal veih laboraght ; jean ny ta currym ayd y yannoo er y laa shen, as shaghyn tammylt beg dy chooilley Voghrey as Fastyr, dy chur moylley gys Jee, as dy yeearree e vannaghtyn ; as eisht, tra t’ow ec dty obbyr gagh laa, t’ow shirveish Jee cha firrinagh, as cha shickyr er y raad gys Niau, as t’ad syn t’ec nyn Badjeryn ; As foddee oo shoh y yannoo ooilley laghyn dty Vea. ",
Yn PHADJER.,The PRAYER.,,99,,
"YEE ghraysoil, ta dty lomarcan feeu jeh ooilley nyn Shirveish, Giall dy vod mad oo y hirveish as y yannoo booiagh, cordail rish nyn Gurrym, lesh ooilley nyn Gree as nyn Niart, dy vod mad booise as arrym y chur dhyt, as tannaghtyn ayns Credjue, as Aggle, as Graih Yee gys jerrey nyn seihll, dy vod eh shin y yannoo dy bragh bannit, trooid Yeesey Creest. Amen. ","GRacious God, who alone art worthy of all our Service, grant that we may serve and please Thee according to our Duty, with all our Heart and Strength ; that we may give Thee Thanks, and do Thee Honour ; And that continuing in the Faith, and Fear, and Love of God, unto our Lives end, we may be made by Him, eternally Happy, thro’ Jesus Christ. Amen.",,99,,
SECT.  XII.,,,100,,
Q. CRE ta dty Churrym gys dty Naboo ? ,Q. WHat is thy Duty towards thy Neighbour ?,,100,,
"A. Ta my churrym gys my Naboo dy chur graih da, myr dou hene, as dy yannoo rish dy chooilley ghooinney myr baillym ad dy yannoo rhym. Dy chur graih, ooashley as kemmyrk da m’Ayr as da my Voir. Dy chur Ooashley as biallys da’n Ree, as da ooilley ny ta er ny choyrt ayns pooar fo. Dy m’injilagh hene gys ooilley my Chionnoortyn, Firynsee, Bochillyn Spyrrydoil, as Mainsteryn. Dy m’ymmyrkey hene dy injil as dy biallagh gys dagh annane Shaar ny mee. Gyn aggair y yannoo da ghooinney erbee liorish goo ny jannoo. Dy ve firrinagh as jeeragh ayns ooilley my ghellal. Gyn goanlys ny myskit y reayll ayns my chree. Dy reayll my laauyn veih myngyraght as geid, as my hengey veih drogh ghoan, breagyn, as scammyltyn. Dy reayll my chorp fo smaght, sheeltys, as glennid. Gyn Saaint ny aigney y choyrt da cooid ghooinney erbee, agh dy ynsagh as dy laboraght dy firrinagh dy gheddyn my veaghey hene, as dy chooilleeney my Churrym ayns y staaid shen dy Vea, huggey schuid-save lesh Jee ve er n’ eamagh orrym. ","A. My Duty towards my Neighbour, is to Love him as myself, and to do unto all Men, as I would they should do unto me. To Love, honour, and Succour my Father and Mother. To Honour and Obey the King, and all that are put in Authority under him. To submit myself to all my Governors, Teachers, Spiritual Pastors, and Masters. To order myself lowly and reverently to all my Betters. To hurt no Body by Word or Deed. To be true and just in all my Dealings. To bear no malice nor hatred in my Heart. To keep my Hands from picking and stealing, and my Tongue from evil speaking, lying, and slandering. To keep my Body in Temperance, Soberness, and Chastity ; not to covet or desire other Mens Goods ; but to learn and labour truly to get my own Living, and to do my Duty in that state of Life, unto which it shall please God to call me. ",,100,"A. Ta my churrym gys my Naboo dy chur graih da, myr dou hene, as dy yannoo rish dy chooilley ghooinney myr baillym ad dy yannoo rhym. Dy chur graih, ooashley as kemmyrk da m’Ayr as da my Voir. Dy chur Ooashley as biallys da’n Ree, as da ooilley ny ta er ny choyrt ayns pooar fo. Dy m’injilagh hene gys ooilley my Chionnoortyn, Firynsee, Bochillyn Spyrrydoil, as Mainsteryn. Dy m’ymmyrkey hene dy injil as dy biallagh gys dagh annane Shaar ny mee. Gyn aggair y yannoo da ghooinney erbee liorish goo ny jannoo. Dy ve firrinagh as jeeragh ayns ooilley my ghellal. Gyn goanlys ny myskit y reayll ayns my chree. Dy reayll my laauyn veih myngyraght as geid, as my hengey veih drogh ghoan, breagyn, as scammyltym. Dy reayll my chorp fo smaght, sheeltys, as glennid. Gyn Saaint ny aigney y choyrt da cooid ghooinney erbee, agh dy ynsagh as dy laboraght dy firrinagh dy gheddyn my veaghey hene, as dy chooilleeney my Churrym ayns y staaid shen dy Vea, huggey schuid-save lesh Jee ve er n’ eamagh orrym. ",
"Q. Nagh vel eh dy liooar, shin dy chur graih da Jee, as dy ghoaill aggle roish, as dy chur ooashley da ? ","Q. Is it not sufficient that we love, and fear, and honour God ?",,101,,
"A. Cha vel. Faikin dy vel y Saarey shoh ain veih Jee, Quoi erbee shynney lesh Jee, dy nyinney lesh e Vraar myr-geddyn ; as shen-y-fa, eshyn ta gra dy nyinney lesh Jee, as feoh echey er e Vraar, te ny vreagyrey. Cha vel graih echey er Jee, cha moo ta graih ec Jee ersyn. ","A. It is not. For we have this Commandment from God, That he who loveth God, love his Brother also ; and therefore, he that saith he loveth God, and hateth his Brother, is a Liar ; He neither loveth God, nor doth God love him.",1 John 4. 21.,101,,
Q. Quoi my Naboo as my Vraar ? ,Q. Who is my Neighbour and Brother ?, ,101,,
"A. Dy chooilley annane ta fo roshtyn dty ghraih ; Son ta Jee er hoilshagh shin ooilley dy ve Braaraghyn, dy vod mad gynsagh dy ghoaill boggey yn derrey yeh ayns Maanrys y jeh elley, as ve trimshagh yn derrey yeh son surranse y jeh elley. ","A. Every Person who is capable of your Love. For God hath declared us all to be Brethren, that we may learn to rejoice in one anothers Happiness, and be concerned at the Sufferings of each other.",Luke 10. 29.,101,,
"Dy vod mad feaysley y yannoo orroo ayns nyn veime, ve aarloo dy chooney lhieu ayns nyn Seaghyn, as kinjagh smooinaght y chooid Shaar jeh ny t’ad dy ghra as dy yannoo. ","That we may relieve their Wants, be ready to help their Misfortunes, and always think the best of what they say or do.",,101,,
"Liorish shoh bee mad shickyr jeh foayr Yee, as yow mad leid ny aghtyn mie as nee nyn nyannoo aarloo son Niau. ","By which we shall secure the Favour of God, and get such Dispositions as may fit us for Heaven.",,101,,
"As ayns y tra t’ayn, ta ec y dooinney sniau-ynsit raad dy immeeaght ayn, corrym rish e hushtey. ","And in the mean time, the most unlearned Person hath a Rule to walk by, suited to his Capacity.",,102,,
"Q. Gueeym erriu, cur-jee toiggal dou jeh shen. ",Q. I pray make me understand that.,,102,"Q. Gueeym erriu, cur-jee toiggal dou jeh shen ?",
"A. Cur tastey da cre’n ghraih t’ayd ort hene. T’ow booishal dy mie dhyt hene ayns dt’ obbraghyn ; cha vel oo booiagh tra nagh vel dt’ aigney ayd ; cha mooar lhiat nee erbee mie dy vel ayd hene; cha nyinney lhiat jummoose y chur ort hene ; as anvennick huittys oo magh rhyt hene, ny my nee oo, t’ow chelleeragh coardit ; Cammah, myr shoh nee-oo oo-hene y ymmyrkey gys dty Naboo, my shynney lhiat eshyn, myr shynney lhiat oo hene, myr ta Saarey ayd dy yannoo. ","A. Consider how you love yourself. You wish yourself all good Success in your Business ; you are sorry when you miscarry ; you never envy yourself any thing that is good ; you do not love to vex, and seldom fall out with yourself, or if you do, you are soon reconciled ; why thus you will deal with your Neighbour, if you love him as yourself, as you are commanded to do.",,102,,
"Ta kiarrail wooar ayd jeh dty ghoo mie hene ; cha vel oo aarloo dy insh dt’ oilchin hene ; Ta fyss ayd cre’n chorree eh, dooinney dy yannoo mitchooraght rhyt ; as nagh nynsee shoh dhyt cre’n aght nee-oo oo hene y ymmyrkey gys feallagh elley ? ",You are much concerned for your own Credit ; you are not forward to publish your own Faults ; you know what a Vexation it is to be deceitfully dealt with ; and doth not this teach you not to deal so with others ?,,102,,
"Nagh gou dy olk rish, my nee adsyn ta ny sinshley na oo Soiagh beg jeed ; Cammah, eisht, ny soi uss beg jeusyn t’er dty skyn, agh cur ooashley as biallys daaue cordail rish nyn Oik as nyn staaid. ","You take it ill to be despised by those below you, why then, you must not despise your Betters, but honour and obey them, according to their Place and Condition.",,102,,
"As nee oo shoh ny sarryltee, tra hoiggys oo nagh vod mad beaghey yn derrey yeh, fegooish y jeh elley. Adsyn ta caeu coamrey berchagh as beaghey dy seyr, cha voddagh ad shen y yannoo, dy be dy vel feallagh elley laboraght dy doccaragh ; cha moo oddagh adsyn ta laboraght beaghey lesh gerjagh, mannagh beagh ad er nyn goadey as er nyn vreayll ayns cree. ","And this you will do more chearfully, when you consider  That we cannot live without one another. They that go fine, and fare well, could not do so, if others did not labour hard ; and they that labour, could not live comfortably, if they were not Protected and Encouraged.",1 Cor. 12. 21.,102,,
"Myr shen, mannagh nyinney lesh ny Berchee yn Boght as y chummal Seose eh, as mannagh jean y Boght ooashley as biallys y choyrt as ve firrinagh daauesyn, nee chammah yn Boght as y Berchagh surranse. ","So that, if the Rich will not love and support the Poor, and the Poor will not honour, and obey, and be faithful to them, both Poor and Rich will be Sufferers.",,103,,
Smaanrey shin eisht dy vel Jee er saarey shin dy ve graihagh y derrey yeh er y jeh elley. ,It is therefore happy for us that God hath commanded us to Love one another.,,103,,
Q. Cre’n aght yow mad gys leid yn ymmyrkey Creestee ? ,Q. How may we attain to such a Christian-Temper ?,,103,,
"A. Shegin dhyt dy chooilley oyr y ghoaill dy vooishal as dy yannoo mie da feallagh elley, kinjagh soilshagh dty Yiastylys hene, liorish feasley er y Voght, cooney lhieusyn t’ayns feime, cur gerjagh daauesyn ta trimshagh as dobberan maroo-syn ta dobberan ; nee shoh dty chree y veiyghey, as taarnee eh oo dy ve dooie. ","A. You must take all Occasions of wishing well, and doing good to others, continually exercising your Compassion, by relieving the Poor, helping such as are in Distress, comforting the Afflicted, and mourning with them that mourn : which will sweeten your Temper, and bring you to good Nature.",,103,"A. Shegin dhyt dy chooilley oyr y ghoaill dy vooishal as dy yannoo mie da feallagh elley, kinjagh soilshagh dty Yiastylys hene, liorish feasley er y Voght, cooney lhieusyn t’ayns feime, cur gerjagh daauesyn ta trimshagh as dobberan maroo-syn ta dobberan ; nee shoh dty chree y veiyghey, as taarnee eh oo dy vee dooie. ",
"Shegin dhyt ve kiarralagh nagh gou boggey jeh trimshey gheiney elley, ga dy nee ad ny Noidyn smoo t’ayd ; son yinnagh shen ort ve niau-ghooghyssagh as croi-chreeagh. ","You must beware of taking Pleasure in the Calamities of other Men, though your greatest Enemies ; for that would make you inhuman and hard-hearted.",,103,,
"Shegin dhyt dy mennick smooinaght er dy vel yeearree as Cairys ec dy chooilley ghooinney dy ve ec fea, chammah as t’ayds ; Dy vel foilchin ayds oo-hene, as dy vel oo ayns feime leih veih deiney as myghin veih Jee. ","You must often consider that all Men have a Desire and a Right to be easie, as well as you ; That you yourself have Faults, and that you stand in need of Pardon from Men, and of Mercy from God.",,103,,
"Agh er skyn ooilley, toig dy nee shoh saarey gyeir Yee, dy der mad graih yn derrey yeh da’n jeh elley, n’egooish cha vod mad ve er nyn saauail. ","But above all consider, that this is God’s express Command, that we love one another, without which we cannot be saved.",,103,,
"Shen-y-fa, jean dy injil guee huggey, dy der e dhyt Spyrryd dy Ghraih, as leid yn ymmyrkey as nee eshyn dy graysoil soiagh jeh. ","Therefore humbly pray to him, that he may give you the Spirit of Love, and such Dispositions as he will graciously accept of.",2 Tim. 1. 7.] text 1 Tim. 1; correct in 1707,103,"Shen-y-fa, jean dy injil guee huggey, dy der e dhyt Spyrryd dy Graih, as leid yn ymmyrkey as nee eshyn dy graysoil soiagh jeh. ",
"As eisht nee oo toiggal cre erbee cha biallagh as vees oo daauesyn ta er dty skyn, cre erbee yn aigney mie hoilshys oo daauesyn ta corrym rhyt, ny cre erbee cha dooie as vees oo daauesyn ta foyd, ayd hene smoo vees vondeish liorish. ","And then you will find, that, be you never so obedient to your Betters, never so civil to your Equals, never so kind to your Inferiors, no Man will profit by it more than yourself.",,104,,
Q. Jean my Ghraih gys my Naboo my lhiettal dy hirrey shen ta dy jarroo my Chairys liorish y Leih ? ,Q. Will my Love to my Neighbour hinder me from seeking my just Rights by Law ?,,104,,
"A. Cha jean. Agh eisht shegin da ve son red ennagh sheeagh dhyt goll gys y leih er y hon, as cha nee son leid ny reddyn fardaalagh nagh nennagh oo yn Coayll oc. ","A. It will not ; But then it must be for something of value, and not for such Trifles as it would not hurt you to lose.",,104,,
"As eisht, dty Churrym eh, hoshiaght, dy phrowal dy chooilley aght graih-agh ; mannagh jean shen mie, shegin dhyt goll gys y Leih, lesh ymmyrkey Creestee, fegooish shirrey cooilleein aigney, fegooish goaill aghtyn comraalagh as roonagh, as cur corree er dty Naboo as ort hene fegooish oyr. ","And then it is your Duty, first, to try all friendly Ways ; when that will not do, you must go to Law with a Christian Temper, without Revenge, without taking tedious and spiteful Courses, and vexing your Neighbour and yourself without cause.",,104,,
"As er jerrey ooilley, t’ow dy ve booiagh lesh ny nee’n Leih y vriwnys, my she lhiat ny dt’oi vees eh. ","And lastly ; You are to be satisfied with what the Law shall determin, be it for or against against you.",,104,,
"Q. Cre ta my Churrym, my nee my Naboo loayrt olk jeem ? ","Q. What is my Duty, if my Neighbour speaketh evil of me ?",,104,,
"A. My t’ow toilchin drogh haggloo ve jeed, cha jean goll gys y leih agh beill sleih y osley. ","A. If you deserve to be evil spoken of, your going to Law will but open Peoples Mouths.",,104,,
