English,Manx,Manx Original,Notes
"The Wicked, and such as be void of a lively faith, although they do carnally and visibly press with their teeth (as Saint Augustine saith) the Sacrament of the Body and Blood of Christ, yet in no wise are they partakers of Christ: but rather, to their condemnation, do eat and drink the sign or Sacrament of so great a thing.","Ta ny meechrauee as nyn lheid as ta fegooish credjue bioal, ga dy vel ad dy foshlit broo lesh nyn veeacklyn yn Sacrament jeh Corp as Fuill Chreest, (myr ta’n dooinney crauee Augustine gra,) ny-yeih cha vel ad er aght erbee goaill ayrn jeh Creest: agh ny sleaïe t’ad gee as giu cowrey, ny Sacrament, jeh lheid y red ooasle, gys nyn gheyrey hene.",,
,,,
XXX. Of both kinds.,30. Mychione dagh Ayrn jeh Shibber y Chiarn.,,
"The Cup of the Lord is not to be denied to the Lay-people: for both the parts of the Lord’s Sacrament, by Christ’s ordinance and commandment, ought to be ministered to all Christian men alike.","Cha vel Cappan y Chiarn dy ve er ny lhiettal veih’n pobble; son lhisagh dagh ayrn jeh Sacrament y Chiarn, liorish oardagh as sarey Chreest, ve shirveishit er Creesteenyn ooilley colaik.",,
,,,
XXXI. Of the one Oblation of Christ finished upon the Cross.,31. Mychione yn un Oural jeh Creest cooilleenit er y Chrosh.,,
"The Offering of Christ once made is that perfect redemption, propitiation, and satisfaction, for all the sins of the whole world, both original and actual; and there is none other satisfaction for sin, but that alone. Wherefore the sacrifices of Masses, in the which it was commonly said, that the Priest did offer Christ for the quick and the dead, to have remission of pain or guilt, were blasphemous fables, and dangerous deceits.","Ta Oural Chreest chebbit un keayrt yn kionnaghey-reesht shen, as lhiassaghey fondagh, son ooilley peccaghyn y slane seihll, chammah peccah yn dooghys ain, as peccah jeant liorin hene; as cha vel lhiassaghey elley son peccah agh shen ny-lomarcan. Shen-y-fa va ny ourallyn ayns y chirveish enmyssit yn “Mass,"" ayn ve dy cadjin er ny ghra dy ren y Chirveishagh chebbal Creest son ny bioee as ny merriu, dy vod ad ve er nyn eaysley veih pian ny loght, skeayllyn mollaghtagh, as breagyn dangeyragh.",,
,,,
XXXII. Of the Marriage of Priests.,32. Mychione Poosey Saggyrtyn.,,
"Bishops, Priests, and Deacons, are not commanded by God’s Law, either to vow the estate of single life, or to abstain from marriage: therefore it is lawful for them, as for all other Christian men, to marry at their own discretion, as they shall judge the same to serve better to godliness.","Cha vel Aspickyn, Saggyrtyn, ny Shirveishee, er nyn sarey liorish Leigh Yee, eddyr dy vreearey noi Poosey, ny dy reayll ad-hene veih: shen-y-fa ta kied ocsyn, myr t’ec dy chooilley Chreestee elley, dy phoosey cordail rish nyn aigney hene, myr nee ad smooniaghtyn y stayd cheddin dy ve ny ’scooie dy choyrt craueeaght er y hoshiaght.",,
,,,
"XXXIII. Of Excommunicate Persons, how they are to be avoided.","33. Mychione Sleih giarit magh veih’n Agglish, cre’n aght ta’n Cheshaght oc dy ve er ny haghney.",,
"That person which by open denunciation of the Church is rightly cut off from the unity of the Church, and excommunicated, ought to be taken of the whole multitude of the faithful, as an Heathen and Publican, until he be openly reconciled by penance, and received into the Church by a Judge that hath authority thereunto.","Lhisagh yn persoon shen, ta liorish briwnys foshlit yn Agglish dy cooie giarit jeh veih unnanys yn Agglish, ve goit liorish slane sheshaght ny Credjuee, myr Anchreestee as Publican, derrey t’eh dy foshlit goit stiagh reesht ayns yn Agglish, liorish Pennys, as liorish Briw t’ayns pooar dy ghoaill eh stiagh.",,
,,,
XXXIV. Of the Traditions of the Church.,34. Mychione Oardaghyn yn Agglish.,,
"It is not necessary that Traditions and Ceremonies be in all places one, and utterly like; for at all times they have been divers, and may be changed according to the diversities of countries, times, and men’s manners, so that nothing be ordained against God’s Word. Whosoever through his private judgement, willingly and purposely, doth openly break the traditions and ceremonies of the Church, which be not repugnant to the Word of God, and be ordained and approved by common authority, ought to be rebuked openly, (that others may fear to do the like,) as he that offendeth against the common order of the Church, and hurteth the authority of the Magistrate, and woundeth the consciences of the weak brethren.","Cha vel eh ymmyrchagh dy beagh Oardaghyn jeh’n un sorch ayns dy chooilley ynnyd; son ayns dy chooilley earish ta caghlaaghyn dy Oardaghyn er ve ayn, as foddee ad ve caghlait cordail rish ny caglaaghyn dy ashoonyn, imbaghyn, as cliaghtaghyn gheiney, myr shen nagh bee nhee erbee er ny oardaghey noi Goo Yee. Quoi-erbee ta trooid e smooniaghtyn hene; dy aggindagh, as jeh e yione, dy foshlit brishey Oardaghyn cliaghtit yn Agglish, nagh vel noi Goo Yee, as t’er ny ve er nyn oardaghey as soiagh jeant jeu, liorish pooar cadjin yn Agglish; lhisagh oghsan foshlit ve er ny choyrt da, (dy vod feallagh elley goaill aggle dy yannoo yn lheid cheddin,) myr eshyn ta foiljagh noi Oardagh cadjin yn Agglish, as jannoo skielley da reill yn Er-oik, as gortaghey cooinsheansyn ny Braaraghyn annoon.","Cha vel eh ymmyrchagh dy beagh Oardaghyn jeh’n un sorch ayns dy chooilley ynnyd; son ayns dy chooilley earish ta caghlaaghyn dy Oardaghyn er ve ayn, as foddee ad ve caghlait cordail rish ny caglaghyn dy ashoonyn, imbaghyn, as cliaghtaghyn gheiney, myr shen nagh bee nhee erbee er ny oardaghey noi Goo Yee. Quoi-erbee ta trooid e smooniaghtyn hene; dy aggindagh, as jeh e yione, dy foshlit brishey Oardaghyn cliaghtit yn Agglish, nagh vel noi Goo Yee, as t’er ny ve er nyn oardaghey as soiagh jeant jeu, liorish pooar cadjin yn Agglish; lhisagh oghsan foshlit ve er ny choyrt da, (dy vod feallagh elley goaill aggle dy yannoo yn lheid cheddin,) myr eshyn ta foiljagh noi Oardagh cadjin yn Agglish, as jannoo skielley da reill yn Er-oik, as gortaghey cooinsheansyn ny Braraghyn annoon.",
"Every particular or national Church hath authority to ordain, change, and abolish, ceremonies or rites of the Church ordained only by man’s authority, so that all things be done to edifying.","Ta pooar ec dy chooilley Agglish er lheh, ny Agglish yn Ashoon, dy oardaghey, dy chaghlaa, ny dy chur naardey, Oardaghyn yn Agglish soit magh ynrican liorish pooar deiney, myr shen dy bee dy chooilley nhee jeant gys vondeish yn Agglish.",,
,,,
XXXV. Of the Homilies,35. Mychione ny Homileeyn.,,
"The second Book of Homilies, the several titles whereof we have joined under this Article, doth contain a godly and wholesome Doctrine, and necessary for these times, as doth the former Book of Homilies, which were set forth in the time of Edward the Sixth; and therefore we judge them to be read in Churches by the Ministers, diligently and distinctly, that they may be understanded of the people.","Ta’n nah Lioar dy Homileeyn, ny enmyn oc ta shin er choyrt lurg yn Article shoh, goaill stiagh ynsagh crauee as follan as ymmyrchagh son ny traaghyn t’ayn, myr ta’n chied Lioar dy Homileeyn myrgeddin, va soit magh ayns traa Ree Edward VI: as shen-y-fa ta shin pointeil ad dy ve er nyn lhaih ayns ny Kialteenyn liorish ny Shirveishee, dy kairailagh as dy baghtal, dy vod ad ve toiggit liorish y pobble.",,
,,,
Of the Names of the Homilies,Mychione Enmyn ny Homileeyn.,,
1.     Of the right Use of the Church.,1.     Mychione ymmyd cooie yn Agglish.,,
2.     Against Peril of Idolatry.,2.     Noi’n Dangere jeh coyrt Ammys da Jallooyn.,,
3.     Of repairing and keeping clean of Churches.,3.     Mychione kiartaghey as freayll Kialteenyn glen.,,
4.     Of Good Works: First of Fasting.,4.     Mychione Obbraghyn mie: hoshiaght jeh Trostey.,,
5.     Against Gluttony and Drunkenness.,5.     Noi Glutteraght as Meshtallys.,,
6.     Against excess of Apparel.,6.     Noi Coamrey moyrnagh.,,
7.     Of Prayer.,7.     Mychione Padjer.,,
8.     Of the place and Time of Prayer.,8.     Mychione Ynnyd as Traa son Padjer.,,
9.     That Common Prayers and Sacraments ought to be ministered in a known tongue.,9.     Dy lhisagh Padjeryn cadjin as Sacramentyn ve shirveishit ayns Glayre t’er ny hoiggal liorish y Pobble.,,
10.  Of the reverend Estimation of God’s Word.,10.  Mychione Smooniaghtyn arrymagh jeh Goo Yee.,,
11.  Of Alms doing.,11.  Mychione coyrt Jeirk da ny Boghtyn.,,
12.  Of the Nativity of Christ.,12.  Mychione Cheet Chreest er y Theihll.,,
13.  Of the Passion of Christ.,13.  Mychione Surranse Chreest.,,
14.  Of the Resurrection of Christ.,14.  Mychione Irree-reesht Chreest.,,
15.  Of the worthy receiving of the Sacrament of the Body and Blood of Christ.,15.  Mychione goaill yn Sacrament jeh Corp as Fuill Chreest dy cooie.,,
16.  Of the Gifts of the Holy Ghost.,16.  Mychione Giootyn y Spyrryd Noo.,,
17.  For the Rogation Days.,17.  Son ny Tree Laghyn roish Jerdaine Frastyl.,,
18.  Of the State of Matrimony.,18.  Mychione y Stayd Poosee.,,
19.  Of Repentance.,19.  Mychione Arrys.,,
20.  Against Idleness.,20.  Noi Litcheraght.,,
21.  Against Rebellion.,21.  Noi Irreemagh noi ny Pooaraghyn Syrjey.,,
,,,
XXXVI. Of Consecration of Bishops and Ministers.,36. Mychione Casherickey Aspickyn as Shirveishee.,36. Mychione Casherickey Aspickyn as Shiveishee.,
"The Book of Consecration of Archbishops and Bishops, and Ordering of Priests and Deacons, lately set forth in the time of Edward the Sixth, and confirmed at the same time by authority of Parliament, doth contain all things necessary to such Consecration and Ordering: neither hath it any thing, that of itself is superstitious and ungodly. And therefore whosoever are consecrated or ordered according to the Rites of that Book, since the second year of the forenamed King Edward unto this time, or hereafter shall be consecrated or ordered according to the same Rites; we decree all such to be rightly, orderly, and lawfully consecrated and ordered.","Ta’n Lioar jeh Casherickey Ard-aspickyn as Aspickyn, as Oardaghey Saggyrtyn as Shirveishee, soit magh ayns lhing Edward VI, as er ny hickyraghey ec y traa cheddin liorish pooar y Pharliament, goaill stiagh dy chooilley nhee ta ymmyrchagh gys lheid y Casherickey as Oardaghey: chamoo ta ayn nhee erbee ta fardailagh as meechrauee. As shen-y-fa quoi-erbee ta er ny Chasherickey ny er ny Oardaghey cordail rish oardaghyn y Lioar shen, neayr’s yn nah vlein jeh Ree Edward roie enmyssit gys y traa t’ayn, ny vees ny lurg shoh er ny Chasherickey ny er ny Oardaghey, cordail rish ny oardaghyn cheddin; ta shin briwnys dy vel ooilley nyn lheid dy cooie, as dy cair, er nyn Gasherickey, as er nyn Oardaghey.",,
,,,
XXXVII. Of the Civil Magistrates.,37. Mychione Fir-oik y Thea.,,
"The King’s Majesty hath the chief power in this Realm of England, and other his Dominions, unto whom the chief Government of all Estates of this Realm, whether they be Ecclesiastical or Civil, in all causes doth appertain, and is not, nor ought to be, subject to any foreign Jurisdiction.","Ta’n phooar syrjey ec y Ree ayns Reeriaght Hostyn; as ny ardjyn elley ta fo e reill; huggey ta’n ard-reill jeh ooilley ny staydyn ayns y Reeriaght shoh, eddyr ad ve jeh’n Agglish, ny jeh’n Thea, bentyn ayns dy chooilley chooish; as cha vel eh, chamoo lhisagh eh ve, fo reill joarree erbee. ",,
"Where we attribute to the King’s Majesty the chief government, by which Titles we understand the minds of some slanderous folks to be offended; we give not to our Princes the ministering either of God’s Word, or of the Sacraments, the which thing the Injunctions also lately set forth by Elizabeth our Queen do most plainly testify; but that only prerogative, which we see to have been given always to all godly Princes in holy Scriptures by God himself; that is, that they should rule all estates and degrees committed to their charge by God, whether they be Ecclesiastical or Temporal, and restrain with the civil sword the stubborn and evil-doers.","Tra ta shin coyrt da’n Ree yn ard-reill, liorish ta shin toiggal dy vel aignaghyn paart dy leih oltooanagh, jymmoosagh; cha vel shin coyrt da nyn Brincyn dy hirveish Goo Yee, ny ny Sacramentyn; myr ta ny oardaghyn soit magh liorish y Ven-rein Elizabeth dy baghtal gymmyrkey feanish; agh yn ynrican “prerogative” shen ta shin fakin va dy kinjagh er ny choyrt da dy chooilley Ree crauee ayns ny Scriptyryn Casherick liorish Jee hene; ta shen dy ghra, dy lhisagh ad reill dy chooilley horch as stayd dy leih er ny choyrt fo nyn gurrym liorish Jee, eddyr ad ve jeh’n Agglish, ny jeh’n Thea, as smaghtaghey liorish y chliwe, yn vooinjer roonagh, as ny drogh-yantee.",,
The Bishop of Rome hath no jurisdiction in this Realm of England.,Cha vel reilltys erbee ec Aspick y Rome ayns Reeriaght Hoystyn.,,
"The Laws of the Realm may punish Christian men with death, for heinous and grievous offences.",Foddee leighyn y Reeriaght kerraghey Creesteenyn gy-baase son peccaghyn eajee as trome.,,
"It is lawful for Christian men, at the commandment of the Magistrate, to wear weapons, and serve in the wars.","Te cooie da Creesteenyn, ec sarey yn Er-oik, dy ymmyrkey greïnyn caggee, as dy hirveish ayns ny caggaghyn.",,
,,,
"XXXVIII. Of Christian Men’s Goods, which are not common.","38. Mychione Cooid Chreesteenyn, nagh vel oc ayns Co-pharteeas.",,
"The Riches and Goods of Christians are not common, as touching the right, title, and possession of the same, as certain Anabaptists do falsely boast. Notwithstanding, every man ought, of such things as he possesseth, liberally to give alms to the poor, according to his ability.","Cha vel Berchys as Cooid Chreesteenyn cadjin, myr te bentyn rish cairys dy ghoaill soylley jeh’n chooid cheddin, myr ta paart dy Anabaptistyn dy foalsey boggysagh. Ny-yeih lhisagh dy chooilley ghooinney, jeh lheid ny reddyn as t’echey, cur dy feoilt da ny boghtyn cordail rish shen ny t’echey.",,
,,,
XXXIX. Of a Christian Man’s Oath.,39. Mychione Loo Chreesteenyn.,,
"As we confess that vain and rash Swearing is forbidden Christian men by our Lord Jesus Christ, and James his Apostle, so we judge, that Christian Religion doth not prohibit, but that a man may swear when the Magistrate requireth, in a cause of faith and charity, so it be done according to the Prophet’s teaching, in justice, judgement, and truth.","Myr ta shin goaill-rish dy vel Creesteenyn er nyn lhiettal veih loo fardailagh as daney, liorish nyn Jiarn Yeesey Creest, as e Ostyl Jamys, myr shen ta shin briwnys nagh vel y Credjue Creestee lhiettal nagh vod dooinney lhoo, tra ta’n er-oik dy hirrey, ayns cooish dy chredjue as dy ghiastallys, my te jeant cordail rish ynsagh yn Phadeyr, ayns ynrickys, ayns briwnys, as ayns firrinys.",,
,,,
THE RATIFICATION,YN RATIFICATION.,,
"This Book of Articles before rehearsed, is again approved, and allowed to be holden and executed within the Realm, by the assent and consent of our Sovereign Lady ELIZABETH, by the grace of God, of England, France, and Ireland, Queen, Defender of the Faith, &c. Which Articles were deliberately read, and confirmed again by the subscription of the hands of the Archbishops and Bishops of the Upper-house, and by the subscription of the whole Clergy of the Nether-house in their Convocation, in the Year of our Lord 1571.","Ta’n Lioar shoh jeh Banglaneyn Credjue Agglish Hostyn reesht soit jeh, as lowit dy v’er ny ghoaill, as er ny reayll cheusthie jeh’n Ream, as liorish cordail as kied nyn Ven-Rein Elizabeth, liorish grayse Yee Ben-rein Hostyn, y Raank, as Erin, Fendeilagh y Chredjue, &c. Ny Banglaneyn cheddin va dy carailagh er nyn lhaih as reesht er nyn hickyraghey liorish fo-laue ny Ardaspickyn as Aspickyn y Thie Syrjey, as liorish fo-laue ooilley ny Saggyrtyn jeh’n Thie Sinshley, ayns y Slane Chagglym-cooidjagh oc, ayns blein nyn Jiarn 1571.",,
