English,English Original,Manx,Notes,Page,Page1836,Page70th,Manx Original
"Come sinner, laden deep with woe,",,"Pheccagh lesh trimshey laadit croym,",,13,12,13,
And unto Christ for healing go;,,Tar gys dty Yeesey hene son cour—,,13,12,13,
"He cures all sickness, and all sore,",,"Lheihys y ching, yn doghan trome,",,13,12,13,
And turns no beggar from his door.,,As cur da’n jeirkagh oltagh souyr.,,13,12,13,
Examine all the texts referred to in this little book. It will add to your comfort and confirmation of the truths herein contained.,,"Ronsee ooilley ny verseyn ta loayrit jeh ayns yn lioar veg shoh. Nee eh bishaghey dty gherjagh, as cur shickyrys smoo dhyt, jeh ny firrinyssyn ta goit stiagh ayn.",,13,12,13,
THE HEALING POWER OF CHRIST.,,POOAR CHREEST DY LAANAGHEY.,,14,20,14,
"Heal me, O Lord, and I shall be healed, Jer. 17, 14, Divine answer: I am the Lord that healeth thee, Exod. 15, 26. They that be whole need not a physician, but they that are sick, Matt. 9, 12. I have seen his ways and will heal him, Isa. 57, 18; 43, 3; and 61,  I. He healed all that were sick, Matt. 8, 16.",,"Jean mish y lheihys, O Hiarn, as bee’m er my lheihys. Jer. xvii.14. Ansoor flaunyssagh: Son mish y Chiarn ta cur dhyt dty lhaynt, Exodus xv. 26. Cha vel feme ocsyn ta slane er yn er-lhee, agh ec sleih chingey. N. Mian ix. 12. Ta mee er vakin e raaidyn, as nee’m eh y lheihys, Isa. lvii. 18; xliii. 3; as lxi. 1. Laanee eh ooilley ny va ching. N. Mian, viii. 16.",,14,20,14,
"CHRIST’S healing all bodily sickness, was a token of his power and grace, to heal all spiritual diseases of our souls, though ever so desperate and dangerous. Therefore, give thyself wholly up to his care; he understands thy distemper also, and will certainly restore thee. He has healed a great many already; nay, all those whoever desired it, of all their infirmities. Thou canst never be too miserable and bad for him; he is ever willing and able to help. The worse thy case is, the more he will pity thee and have patience. Before we can be made whole, his way is to make us thoroughly sensible of our sickness, and lay our wounds more and more open. But as the physician then is most wanted, we must be the more earnest to implore his help, and he will surely bind us up again and heal us; not at once, but by degrees; often slowly and wonderfully, yet thoroughly at last; for he heals All;— even the most incurable diseases.",,"AYNS dy ren Creest slaanaghey dy chooilley hingys callinagh, ve cowrey jeh e phooar as e ghrayse, dy lheihys ooilley doghanyn spyrrydoil nyn anmeenyn, cre-theihll cha olk as cha dangeyragh as oddys ad y ve. Shen-y-fa, cur oo-hene seose ooilley cooidjagh gys yn chiarail echey; t’eh toiggal dty ghoghan myrgeddin, as nee eh son shickyrys oo y lheihys. T’eh er lheihys ymmodee roish nish, jeh ooilley nyn aslayntyn, dy jarroo, adsyn ooilley ren rieau shirrey er. Cha vod oo ve dy bragh ro hreih ny ro olk dasyn dy laanaghey oo; t’eshyn dy bragh arryltagh as pooaral dy chooney. Myr smessey ta’n stayd ayd, wheesh shen smoo dy hymmey nee eh goaill jeed, as wheesh shen smoo vees yn surranse-foddey echey hood. Roish oddys mayd ve er nyn slaanaghey, ta’n aght echeysyn, dy yannoo shin ooilley cooidjagh toiggalagh jeh nyn jingys, as dy chur orrin gennaghtyn eh, as myrgeddin dy osley nyn lhottyn ny smoo as ny smoo. As myr ta shin ec yn traa shen, shassoo ny smoo ayns feme jeh’n fer-lhee, wheesh shen s’jeean shegin dooin y ve ayns shirrey yn cooney echey, as nee eh son shickyrys chiangley shin seose reesht as slaanaghey shin; cha nee ooilley ec keayrt, agh ny veggan as ny veggan; dy mennick ayns aght dree as yindyssagh, ny-yeih ooilley cooidjagh ec y jerrey; son t’eh lheihys dy chooilley ghoghan;—eer ny doghanyn smessey.",,14,20,14,
"The gospel, (the good news from heaven,) when well understood and duly received, sets the heart against all sin, and effectually prevents the allowed practice of it; and at the same time, it gives the most blessed relief to the wounded consciences of those who have sinned,—by increasing their hope and assurance of pardon, through our blessed Advocate with the Father, even Jesus Christ the righteous, who is the Propitiation for our sins; and not for ours only, but also for the sins of the whole world, 1st John, c. 2, v. 1, 2.",,"Ta’n sushtal, (ny naightyn mie veih niau,) tra te dy mie er ny hoiggal as er ny ghoaill ayns aght cairagh, soiaghey yn cree noi dy chooilley pheccah, as dy breeoil lhiettal veih tannaghtyn ayn; as ec yn traa cheddin, te cur yn couyr s’bannee da ny cooinsheanseyn guint ocsyn ta er n’yannoo peccah,—liorish bishaghey nyn dreishteil, as nyn shickyrys jeh pardoon, trooid yn Fer bannit shen ta loayrt er nyn son rish yn Ayr, eer Yeesey Creest yn fer cairagh, eshyn ta yn lhiasaghey son nyn beccaghyn; as cha nee er son ny peccaghyn ain ny-lomarcan, agh myrgeddin son peccaghyn yn seihll ooilley. 1 Ean ii. 1, 2.",,14,20,14,
,,,,,,,
A KNOWLEDGE OF OUR SALVATION.,,TUSHTEY JEH NYN SAUALTYS.,,15,15,15,
"We know that we have a building of God, a house not made with hands, eternal in the heavens,—for in this we groan. 2 Cor. 5. 1, 2, 4.",,"Ta Fys ain dy vel ynnyd-vaghee ain veih Jee, thie nagh vel jeant lesh laueyn, dy bragh farraghtyn ayns ny niaughyn. Son ayns shoh ta shin osnaghey. 2 Cor. v. 1, 2, 4.",,15,15,15,
"IT is a blessed thing to be found walking in the way of salvation, but it is a much greater blessing to know it, and to have every doubt and every fear removed, so that we may continually press onward, rejoicing in the Lord, our strength, our confidence, and trust.—(Search all the texts referred to.)",,"TE red bannit dy ve er ny gheddyn gimmeeaght ayns yn raad dy haualtys, agh te bannaght foddey smoo my ta fys ain dy vel shin gimmeeaght ayn, as my ta dy chooilley ghooyt as dy chooilley aggle scughit ersooyl, myr shen dy vod mayd dy kinjagh chionney er nyn doshiaght, goaill boggey ayns y Chiarn, nyn niart, nyn marrant, as nyn dreishteil. (Ronsee-jee ooilley ny verseyn loayrit jeh.)",,15,15,15,
"Well, my friend, this paper is written expressly for you, by one who has been many years travelling the road to Zion, surrounded with distrusts and fears, lest he might possibly have mistaken the right path, and at last come short of eternal glory.",,"Nish, my charrey, ta’n lioar veg shoh scruit ooilley cooidjagh son ayds, liorish fer ta er ve son ymmodee bleeantyn shooyl er yn raad ta leeideil gys Zion, combaasit mygeayrt lesh mee-hreishteil as aggleyn, nagh row eh-hene foddee shooyl ’sy chassan cair, as dy darragh eh giare ec y jerrey jeh gloyr dy bragh farraghtyn.",,15,15,15,
"How then do we know that we really have a building of God,—a mansion prepared for us;—a dwelling into which we shall assuredly enter, and be for ever with the Lord? Do you groan in this your earthly tabernacle—on account of sin? Is sin really hateful to you? Would you part with it if you could? Is holiness to the Lord the yearning of your soul? What occasions this new sensation, so totally opposite to what you once experienced? Why, my friend, it is the earnest of the Holy Spirit. (2 Cor. 5; 4. 5.) You would never groan for sin, if you had not this blessed earnest of your future joy. Was it always so with you, as it is now? The renewed soul (and none else) will answer,—no. This, then, my fellow traveller to Zion, is a blessed life-giving proof that you are indeed a new creature, deeply interested in the sacrifice and righteousness of Christ, and are become an heir of salvation.",,"Cre’n aght eisht ta fys ain dy vel eh son shickyrys ynnyd-vaghee ain veih Jee, thie nagh vel jeant lesh laueyn er ny chiarail son ainyn;—cummal ayn nee mayd son shickyrys goll stiagh, as ve son dy bragh marish yn Chiarn? Vel oo gosnaghey ayns yn cabbane thallooinagh shoh—er coontey peccah? Vel peccah ayns firrinys dwoaiagh dhyt? Jinnagh oo scarrey rish dy voddagh oo? Vel casherickys gys y Chiarn slane yeearree dty annym? Cre’n oyr dy vel oo gennaghtyn er yn aght shoh nish, aght nagh vel ayns towse erbee goll-rish yn aght ren oo keayrt gennaghtyn? Te my charrey, eearlys yn Spyrryd Noo. 2 Cor. v. 4, 5. Cha jinnagh oo dy bragh gosnaghey son peccah, mannagh row yn eearlys bannit shoh ayd jeh’n voggey as yn vaynrys ta ry-heet. Row eh dy kinjagh myr shoh mayrt, myr te nish? Nee yn annym ta jeant ass y noa (as cha jean annym erbee elley) gansoor,—Cha row. Ta shoh, eisht, my heshey troailtagh gys Zion, prowal bannit, dy vel oo ayns firrinys cretoor noa, dy vel ayrn vooar ayd ayns oural as cairys Chreest, as dy vel oo er jeet dy ve eirey jeh saualtys.",,15,15,15,"Cre’n aght eisht ta fys ain dy vel eh son shickyrys ynnyd-vaghee ain veih Jee, thie nagh vel jeant lesh laueyn er ny chiarail son ainyn;—cummal ayn nee mayd son shickyrys goll stiagh, as ve son dy bragh marish yn Chiarn? Vel oo gosnaghey ayns yn cabbane thallooinagh shoh—er coontey peccah? Vel peccah ayns firrinys dwoaiagh dhyt? Jinnagh oo scarrey rish dy voddagh oo? Vel casherickys gys y Chiarn slane yeearree dty annym? Cre’n oyr dy vel oo gennaghtyn er yn aght shoh nish, aght nagh vel ayns towse erbee goll-rish yn aght ren oo keayrt gennaghtyn? Te my charrey, eearlys yn Spyrryd Noo. 2 Cor. v. 4, 5. Cha jinnagh oo dy bragh gosnaghey son peccah, mannagh row yn eearlys bannit shoh ayd jeh’n voggey as yn vaynrys ta ry-heet. Row eh dy kinjagh myr shoh mayrt, myr te nish Nee yn annym ta jeant ass y noa (as cha jean annym erbee elley) gansoor,—Cha row. Ta shoh, eisht, my heshey troailtagh gys Zion, prowal bannit, dy vel oo ayns firrinys cretoor noa, dy vel ayrn vooar ayd ayns oural as cairys Chreest, as dy vel oo er jeet dy ve eirey jeh saualtys."
"Let this be for your comfort and consolation,—that your very anxiety to know your state, is an earnest of the Spirit of God working within you, whereby you may know assuredly that you are sealed an heir of glory. (Gal. 4; 6, 7.) Take this for your comfort, and be thankful, remembering that God will never leave nor forsake those to whom he has once shewn his covenant. Psalm 89; 27 to 34. Rom. 8; 38, 39. Phil. 1, 6.)",,"Lhig da shoh gerjaghey oo,—dy vel yn eer yeearree jeean ayd dy hoiggal dty stayd, eearlys jeh Spyrryd Yee gobbraghey cheu-sthie jeed, liorish foddys fys ve ayd son shickyrys dy vel oo er dty sealal eirey dy ghloyr. (Gal. iv. 6, 7.) Gow shoh son dty gherjagh, as bee booisal, cooinaghtyn nagh jean Jee dy bragh faagail ny treigeil adsyn daue t’eh keayrt er hoilshaghey e chonaant. (Psalm lxxxix. 27–34; Rom. viii. 38, 39; Phil. i. 6.)",,15,15,15,
,,,,,,,
AN ABUNDANT PARDON.,,SLANE PARDOON. ,,16,24,19,SLANE PARDON. 
"Let the wicked forsake his way and the unrighteous man his thoughts; and let him return unto the Lord and he will have mercy upon him; and to our God, for he will abundantly pardon. Is. 55, 7.",,"Lhig da’n drogh-ghooinney treigeil e raad, as y dooinney neu-ynrick e smooinaghtyn: as lhig da chyndaa gys y Chiarn, as bee myghin echey er; as gys y Jee ain, as nee eh dy arryltagh leih da. Isai. lv. 7.",,16,24,19,
"READER,—art THOU a wicked man? Look with astonishment and gratitude at the mercy provided even for thee; and not only mercy, but an abundant pardon for all thy manifold sins and transgressions, however great or numerous they may have been. But to obtain this important blessing, thou must forsake thy sinful ways and evil thoughts, and return unto the Lord of life and glory. He stands ready to receive thee, with large supplies of grace, accompanied by the kindest promises that thy sins shall not be mentioned unto thee. ( Ezekiel 18, 22.)",,"VEL Uss, ta lhaih yn lioar veg shoh, dooinney mee-chrauee? Jeeagh lesh yindys as booise er yn vyghin ta kiarit, eer er dty hons; as cha nee ynrycan myghin, agh slane pardoon son ooilley dty ymmodee filley peccaghyn as olkys, cre-erbee cha mooar ny cha ymmodee ayns earroo as oddys ad y ve. Agh roish oddys oo geddyn yn bannaght mooar shoh ta jeh’n feeuid smoo, shegin dhyt treigeil dty raaidyn peccoil as dty ghrogh smooinaghtyn, as chyndaa gys yn Chiarn jeh bea as gloyr. T’eh shassoo aarloo dy ghoaill rhyt, lesh stoyryn berchagh dy ghrayse, marish ny gialdynyn s’dooie nagh bee dty pheccaghyn er nyn enmys hood. (Ezekiel xviii. 22.)",,16,24,19,
"Arise, then, from thy lethargy, and cast thyself at the feet of Jesus; supplicate his powerful aid to rescue thee from thy besetting sins. Plead his own promise, that “none, (however deep their guilt,) none shall be cast out, who come to God by him.”  You cannot do him greater honour than to come to him, all sinful as you are, and believe in his word, which declares, that he who believeth and is baptized, shall be saved. Believe, then, and be THOU saved;—but, remember also, that he who believeth not, will be condemned.",,"Irree, eisht, veih dty chadley, as tilg oo-hene sheese ec cassyn Yeesey; guee er dy livrey oo liorish e phooar niartal veih dty pheccaghyn ta cha aarloo dy dty lhiettal. Cur eh ayns cooinaghtyn jeh’n gialdyn echey hene, nagh “bee fer erbee (cre-erbee cha mee-chrauee as oddys eh y ve) nagh bee fer erbee er ny yiooldey magh nee cheet gys Jee ny hrooidsyn.” Cha vod oo cur ooashley smoo da na dy heet huggey, ooilley peccoil myr t’ou, as credjal e ghoo, ta gra, dy bee eshyn ta credjal as er ny vashtey er ny hauail. Cred, eisht, as bee Uss er dty hauail;—agh cooinee myrgeddin, dy bee eshyn nagh jean credjal er ny gheyrey.",,16,24,19,
"Beseech the Lord to grant you the influence of his Holy Spirit, to sanctify your soul and convince you of sin: then, and (then alone,) will you feel the need of a Saviour, and learn to estimate his value, which to you is more than the whole world.",,"Guee er y Chiarn dy chur ort dy ennaghtyn bree e Spyrryd Casherick, dy chasherickey dty annym as dy chur ennaghtyn dowin dhyt jeh peccah; eisht, (as eisht ny-lomarcan,) nee oo gennaghtyn yn feme ayd jeh Saualtagh, as gynsaghey dy hoiaghey dy mooar jeh’n feeuid echeysyn, ta dhyts ny smoo na’n slane seihll.",,16,24,19,
"Lord, I come to seek thy face,",,"Hiarn ta mee cheet dy hirrey dt’oaïe,",,16,24,19,
Grant me fresh supplies of grace:,,"As bishagh’ jeh dty gherjagh meïygh,",,16,24,19,
"Let me feel my soul renew’d,",,"Jean gientyn aynym cree caghlaait,",,16,24,19,
My sins absolv’d by Jesu’s blood.,,Trooid fuill yn Eayn my pheccah mâiht.,,16,24,19,
,,,,,,,
THE WARNING VOICE OF GOD.,,RAAUE VOISH JEE.,,17,,18,
"Son of man, hear the word at my mouth, and WARN them from ME. Ezekiel, c. xxxiii. v. 7. EXHORT, with all authority. Titus, c. ii. v. 15.",,"Vac y dooinney, clynnee oo yn goo veih my veeal’s as cur raaue dauesyn voym’s. Ezekiel xxxiii. 7. Cur oghsan lesh slane ’torrity. Titus xi. 15.",,17,,18,
"In warning you, my fellow-sinner, to flee from the wrath to come, I would address you in words the most tender, and most persuasive, that heart could feel or tongue express, and not with threatenings of curses and punishment;—but in exhorting you, I would call into action the very thunder of language, if possible, to urge you to seek HIM who shed his precious blood, that you might be made an heir of endless life. I would endeavour to point out to you the immensity of His LOVE,—such as never shone on earth before; love the most amazing, such as none but the ever-blessed Son of God could possibly feel for a lost and rebellious world;—and yet to this very world a message was sent from heaven,—even from God himself (by his beloved Son) that it was not his will that any should perish (John vi. 38, 40.)",,"AYNS cur raaue dhyts, my heshey-peccagh, dy hea veih yn jymmoose ta ry-heet, yinnin loayrt rhyt ayns ny goan s’graihagh as s’breeoil, as cha nee liorish baggyrt mollaghtyn as kerraghey;—agh ayns coyrlaghey oo, yinnin geam gys my chooney eer glare dy haarnagh, dy beagh eh possible, dy hionney oo dy hirrey Eshyn ren deayrtey e uill gheyr, dy voddagh uss ve jeant eirey jeh bea dy bragh farraghtyn. Yinnin streeu dy hoiaghey kiongoyrt rhyt mooadys erskyn-towse yn graih Echeysyn—lheid as nagh ren rieau roïe soilshean er seihll caillit as mee-viallagh;—as ny-yeih gys yn eer seihll shoh va chaghteraght er ny choyrt veih niau,—dy jarroo voish Jee hene, (liorish e Vac graihagh) nagh row eh yn aigney echeysyn dy jinnagh unnane erbee cherraghtyn. (Ean vi. 38–40.)",,17,,18,
"Will you not HEAR?—Will you not even listen to the voice of mercy, which calls aloud to save you from eternal woe? ETERNAL WOE!! Do you understand it? Do you comprehend that this is nothing short of endless torment?",,"Nagh jean oo clashtyn? Nagh jean oo eer geaishtagh rish yn coraa dy vyghin, ta geamagh dy ard dy hauail oo veih treihys dy bragh beayn? Treihys dy bragh beayn!!! Vel oo dy hoiggal eh? Vel oo cur-my-ner nagh vel shoh veg sloo na torchagh nagh jig dy bragh gys kione.",,17,,18,"Nagh jean oo clashtyn? Nagh jean oo eer geaishtagh rish yn coraa dy vyghin, ta geamagh dy ard dy hauail oo veih treihys dy bragh beayn Treihys dy bragh beayn!!! Vel oo dy hoiggal eh? Vel oo cur-my-ner nagh vel shoh veg sloo na torchagh nagh jig dy bragh gys kione."
"O sinner! whatever situation of life you fill, oh! listen to this soul-felt admonition to entice you to seek the Lord of glory, who is indeed the SINNER’S FRIEND.",,"Oh! Pheccagh;—cre-erbee yn stayd dy vea t’ou ayn, O eaisht rish yn raaue jeean shoh ta coyrlaghey oo dy hirrey yn Chiarn dy ghloyr, ta ayns firrinys Carrey yn Pheccagh.",,17,,18,
"Think of his compassion,—how he wept over the rebellious city with an agony of tenderness, crying out, “O Jerusalem, Jerusalem, if thou hadst known the things which belong to thy peace! but now they are hid from thine eyes.”",,"Smooinee er e hymmey;—kys ren eh dobberan harrish yn ard-valley mee-viallagh, lesh angaish dy veighys, geam magh, “O Yerusalem, Yerusalem, dy beagh toiggal er ve ayd’s jeh ny reddyn ta bentyn rish dty hee,—agh nish t’ad follit veih dty hooillyn.”",,17,,18,
"HID from thine eyes!!—the soul lost, for EVER!!",,"Follit veih dty hooillyn!!—Yn annym caillit,—son dy bragh!!!",,17,,18,
But is it indeed TOO LATE? Is there NO hope? O yes there is; for,,"Agh vel eh ayns firrinys ro anmagh? Nagh vel treishteil er-bee ermayrn? O ta treishteil foast ermayrn,",,17,,18,
"“Whilst the lamp holds out to burn,",,"“Choud as ta’n sushtal geamagh da,",,17,,18,
The vilest sinner may return.”,,Foddee yn peccagh smoo chyndaa.”,,17,,18,
"Come, then, with me to the feet of Jesus; plead his precious blood, and confess your sins; and all will be well.",,"Tar marym’s er y fa shen gys cassyn Yeesey—Shir myghin trooid e uill; as gow-rish dty pheccaghyn,—as bee ooilley dy mie.",,17,,18,
"He beckons you with his gracious hand: come, sinner, come; come with a humble and a contrite heart, and “though your sins be as scarlet, they shall be as white as snow.”",,"T’eh dy graysoil geamagh ort;—Tar pheccagh, tar! tar lesh cree imlee arryssagh,—as “ga dy beagh dty pheccaghyn myr scarleod, bee ad cha gial as sniaghtey.”",,17,,18,
"Blessed be God, for such abundant mercy for rebellious man.",,Bannit dy row Jee dy vel lheid y vyghin erskyn-insh couyr dooinney mee-viallagh.,,17,,18,
,,,,,,,
REMISSION OF PAST SINS.,,LEIH SON PECCAGHYN T’ER N’GHOLL SHAGHEY.,,18,18,25,
"We are justified freely by his grace, through the redemption that is in Christ Jesus; whom God hath set forth to be a propitiation through faith in his blood, to declare his righteousness for the remission of sins that are past. Rom. 3, 24–25.",,"Dy nastee jeant seyr liorish e ghrayse, trooid y livrey‑ys ta ayns Yeesey Creest; eh ta Jee er chiarail dy ve ny lhiassaghey, trooid credjue ayns e uill, dy hoilshaghey magh e chairys son leih peccaghyn t’er n’gholl shaghey. Rom. iii. 24, 25.",,18,18,25,
"HOW sweet are the words “ By grace (without merit) ye are saved!”  Here is an overflowing fountain of comfort and divine strength! But how little are the generality of vain and worldly people, who still feed upon husks, acquainted with these words! How little are they relished by our self-righteous moral Christians! but, O! how deliciously does a poor hungering sinner fare upon them! there is hardly any thing less known and understood, as to the power and experience, than the mystery of Christ’s suffering and dying for us, and justification by faith in him; though it is the only paradise and element of believers, and the greatest jewel restored by the Reformation. Such talking and representations of sin as only strike the imagination are not sufficient; but we must also feel the mortal wounds of sin, by which the flesh is mortified, and be actually healed by the stripes of Christ. There is no other way,—for Christ himself has declared that HE is the Way,—the Truth,—and the Life. (John 14, 6.) That no man cometh to the Father but by him. That HE giveth his life for the sheep, (John 10, 11), even eternal life; declaring (John 10. 28, 29) that they shall never perish, neither shall any man pluck them out of his hand nor out of his Father’s hand. Here, my fellow-Sinner,—here is security doubly secure;—and this is for YOU,—if you be but willing to accept it. May the Lord make you willing.",,"CRE cha millish ta ny goan “liorish Grayse (gyn toilchinys) ta shiu er nyn sauail.” Ayns shoh ta farrane freayney harrish lesh gerjagh as troshid flaunyssagh. Agh s’beg, son y chooid smoo, yn ainjys t’ec sleih boghtey seihltagh ta foast beaghey er bleaystyn, er ny goan shoh! S’beg t’ad er ny vlashtyn lioroosyn ta treishteil ’syn ynrickys oc-hene—Creesteenyn jeh ymmyrkey bea lowal. Agh O! lesh cre’n eunys ta’n peccagh boght, accryssagh beaghey orroo. Scoan my ta red er-bee ny sloo er ny hoiggal, choud’s t’eh bentyn da’n phooar as yn ennaghtyn echey, na yn folliaght jeh surranse as baase Chreest er nyn son, as seyrey trooid credjue aynsyn; ga dy vel eh yn ynrycan maynrys as gerjagh t’ec credjuee as yn bannaght smoo feeu er ny chur lesh er-ash liorish v’er nyn livrey voish marranys Keeil y Raue. Lheid y taggloo as shilley caslyssagh jeh peccah nagh vel goaill greme er yn aigney, cha vel ad fondagh; agh shegin dooin myrgeddin gennaghtyn lhottyn baasoil peccah, lioroo ta’n eill er ny smaghtaghey, as ve dy firrinagh er nyn lheihys liorish lhottyn Chreest. Cha vel raad er-bee elley—son ta Creest eh-hene er hoilshaghey dy nee Eshyn yn Raad—Yn Irriney—as y Vea, Ean xiv. 6, nagh vel dooinney er-bee cheet gys yn Ayr agh ny hrooidsyn. Dy vel eshyn coyrt e vioys son ny kirree eer bioys veayn, Ean x. 11, shickyraghey nagh jean ad dy bragh cherraghtyn, Ean x. 28, 29, chamoo nee dooinney erbee pluckey ad ass y laue echeysyn, ny ass laue e Ayrey. Ayns shoh my heshey-pheccagh ta barrantys, barrantys dooblit as shoh son ayd’s my vees oo arryltagh dy yannoo soiaghey jeh. Dy jean y Chiarn oo arryltagh as booiagh.",,18,18,25,"CRE cha millish ta ny goan “liorish Grayse (gyn toilchinys) ta shiu er nyn sauail.” Ayns shoh ta farrane freayney harrish lesh gerjagh as troshid flaunyssagh. Agh s’beg, son y chooid smoo, yn ainjys t’ec sleih boghtey seihltagh ta foast beaghey er bleaystyn, er ny goan shoh! S’beg t’ad er ny vlashtyn lioroosyn ta treishteil ’syn ynrickys oc-hene—Creesteenyn jeh ymmyrkey bea lowal. Agh O! lesh cre’n eunys ta’n peccagh boght, accryssagh beaghey orroo. Scoan my ta red er-bee ny sloo er ny hoiggal, choud’s teh bentyn da’n phooar as yn ennaghtyn echey, na yn folliaght jeh surranse as baase Chreest er nyn son, as seyrey trooid credjue aynsyn; ga dy vel eh yn ynrycan maynrys as gerjagh t’ec credjuee as yn bannaght smoo feeu er ny chur lesh er-ash liorish ver nyn livrey voish marranys Keeil y Raue. Lheid y taggloo as shilley caslyssagh jeh peccah nagh vel goaill greme er yn aigney, cha vel ad fondagh; agh shegin dooin myrgeddin gennaghtyn lhottyn baasoil peccah, lioroo ta’n eill er ny smaghtaghey, as ve dy firrinagh er nyn lheihys liorish lhottyn Chreest. Cha vel raad er-bee elley—son ta Creest eh-hene er hoilshaghey dy nee Eshyn yn Raad—Yn Irriney—as y Vea, Ean xiv. 6, nagh vel dooinney er-bee cheet gys yn Ayr agh ny hrooidsyn. Dy vel eshyn coyrt e vioys son ny kirree eer bioys veayn, Ean x. 11, shickyraghey nagh jean ad dy bragh cherraghtyn, Ean x. 28, 29, chamoo nee dooinney erbee pluckey ad ass y laue echeysyn, ny ass laue e Ayrey. Ayns shoh my heshey-pheccagh ta barrantys, barrantys dooblit as shoh son ayd’s my vees oo arryltagh dy yannoo soiaghey jeh. Dy jean y Chiarn oo arryltagh as booiagh."
,,,,,,,
ENDLESS MISERY to the IMPENITENT.,,TREIHYS GYN-KIONE DA NY MEE-ARRYSSEE.,,19,19,21,
"At the end of the world the Angels shall come forth, and sever the wicked from among the just; and shall cast them into the furnace of fire; there shall be wailing and gnashing of teeth. Matthew 13, 49, 50. Mark ix. 44.[17]",,"Ec jerrey yn theihll, hig ny ainleyn magh, as scarree ad yn vee-chrauee veih mastey yn chloan chairal; as tilgee ad ad ayns coirrey dy aile; ayns shen vees keayney as snaggeraght feeacklyn. Mian xiii. 49, 50. Mark ix. 44.",[17] The second reference is absent in 1836.,19,19,21,
"ALTHOUGH there are many delightful portions in this little book to allure or draw sinners to Christ, and to the enjoyment of his forgiving love, yet it must not be concealed, that everlasting misery awaits all those who refuse to accept the gracious invitation.",,"GA dy vel ymmodee ayrnyn eunyssagh jeh’n lioar veg shoh dy ghreinnaghey as dy hayrn peccee gys Creest, as gys yn soylley jeh e ghraih meiygh, foast cha nhegin da v’er ny chieltyn dy bee treihys dy bragh-farraghtyn yn cronney ocsyn ooilley ta gobbal dy hoiaghey jeh’n cuirrey graysoil.",,19,19,21,
"It is the object of this paper to warn sinners against the common delusion, that because God is merciful, he will not therefore punish transgressors.",,"Te kiarail yn lioar shoh dy chur raaue da peccee noi yn shaghrynys cadjin, “er-yn-oyr dy vel Jee myghinagh, cha jean eh er-y-fa shen kerraghey ny drogh-yantee.”",,19,19,21,
"“God is angry with the wicked every day.”  Psalm 7, 11. And “though hand join in hand, yet the wicked shall not be unpunished.”  Prov. 11, 21.",,"“Ta Jee er ny vrasnaghey (liorish ny mee-chrauee) dy chooilley laa.” Ps. vii. 11. As “ga dy vel laue niartaghey laue, cha bee  ny mee-chrauee gyn kerraghey.” Raaghyn Creeney xi. 21.",,19,19,21,"“Ta Jee er ny vrasnaghey (liorish ny mee-chrauee) dy chooilley laa.” Ps. vii. 11. As “ga dy vel laue niartaghey laue, cha be  ny mee-chrauee gyn kerraghey.” Raaghyn Creeney xi. 21."
"This is the language of Scripture,—of the word of God, and is mercifully intended as a warning to transgressors not to persist in their obstinacy, nor dare the flames of Hell.",,"Shoh goan y scriptyr—goo Yee, as te dy myghinagh kiarit myr raaue da drogh-yantee gyn dy gholl er nyn doshiaght ayns nyn greoghys, ny chur y-lane-fo aile niurin.",,19,19,21,"Shoh goan y scriptyr—goo ee, as te dy myghinagh kiarit myr raaue da drogh-yantee gyn dy gholl er nyn doshiaght ayns nyn greoghys, ny chur y-lane-fo aile niurin."
"Come then, Sinner! Look at this warning, and look at yourself; and see if you are not in danger of everlasting woe. Arouse yourself, and ere it be too late, seek an interest in Christ; He will most willingly, and even joyfully receive you, and blot out all your sins.",,"Tar eisht Pheccagh! Jeeagh er y raaue shoh, as jeagh ort hene; as gow tastey vel oo ayns gaue treihys gyn-kione. Dooisht roish vees eh ro anmagh, shir ayrn ayns Creest; nee eh dy arryltagh, dy jarroo, lesh boggey goaill oo as dolley ass ooilley dty pheccaghyn.",,19,19,21,"Tar eisht Pheccagh! Jeeagh er y raaue shoh, as jeagh ort hene; as gow tastey vel oo ayns gaue treihys gyn-kione. Dooisht roish vees eh ro amnagh, shir ayrn ayns Creest; nee eh dy arryltagh, dy jarroo, lesh boggey goaill oo as dolley ass ooilley dty pheccaghyn."
"This may be the last warning you may ever receive; embrace it, then, with all your heart and soul, that you may be a brand pluckt from everlasting fire. Let the present conviction upon your mind be followed by instant prayer for grace to forsake every sinful way; and be assured that the Lord will help and deliver you, for He saves to the uttermost all who come to Him by Jesus Christ.[19]",,"Foddee shoh ve’n Raaue s’jerree nee oo y gheddyn dy bragh; gow eh, eisht, lesh dty slane cree as annym dy vod oo ve stoo cosnit ass aile dy bragh farraghtyn. Lhig da’n ennaghtyn shoh er dty aigney greesey oo seose gys padjer jeean son grayse dy hreigeil dy chooilley raad peccoil; as bee shickyr jeh dy jean y Chiarn cooney lhiat as livrey oo, son T’eh sauail gys y chooid sodjey ooilley ny ta cheet huggey liorish Yeesey Creest.",[19] Here 70th edn. is slightly different ‘He saves them to the uttermost who come unto Him by Jesus Christ’. Manx ooilley matches rather 1836 ‘all’.,19,19,21,
THE EYE OF GOD—is upon you. TAKE WARNING!!!,,Sooill Yee—te ort. Gow Raaue!!!,,19,19,21,
,,,,,,,
THE POWER OF GOD.,,POOAR YEE.,,20,14,22,
