English,Manx,Original,Notes
,"Dy labyragh fo çheas yn grain,",,
,"Gollish myr dy leien* sy cheayn,",,
,Dy churt ny banneeyn fo hraie [inshore],,
,As paart dy lhie er yn laare vooie.,,
,,,
,"Ren Billy Bwee poosey ben jeay, shen ghoinney three feed as queig blieney dy eash. Ta shen scollag aig cummal yn Balley beg ain as te er volley ymmodee jeh ny mraane aegey.",,
,,,
,"Ta mee er clashtyn ny shen gheeney dy mennick gra, Lurg laa meayll mooar dy row daa faarkey gholl ayns unnane.",,
,,,
,Ta ny sterrym gouree er ve feer throme ayns yn vlein shoh.,,
,,,
,"Feeagh dhoo, feeagh dhoo nagh vaik oo ny bochillyn? Ta’d ny hoie ghob ry ghob cooyl cleigh yn chlieu. [mountain hedge]",,
,,,
,"Ta mee er chlashtyn ny shen vraane ginsh da ny paitchyn mysh daa feeagh ren meeitteil cheayrt dy row, as ren fer jiu briagh jeh’n fer elley, “Cre’n naight te lhiat?” Dooyrt eh, “Ta’n bock bane marrow.”",,
,"“Vel eh rouyr, vel eh rouyr?” Dooyrt eh, “Ooilley ayns ouree, ooilley ayns ouree.” Esh v’eh arrysagh dy ren eh ginsh shen da. “Crauyn loam, crauyn loam,” dooyrt eh.",,
,,,
,,,
"I have heard the old people say when going out of the house at a late hour, Shee Yee dy row marym [the peace of God be with me]; and going along the road if they got fearful, as I have felt myself many times my hair to stand on end and felt myself walking in the air not feeling the ground under my feet, without seeing or hearing anything. The old people used to say, Dy bee Jee eddyr ayms as dy chooilley groght red. [God be between me and all evil things.] I suppose only for the old practice learned from the father and mother we had not been thinking about ghosts and fairies when out late.",,,
,,,
"There are others in Cregneish that know far more of the old sayings than I do, and I have been asking them about it, but they never told me a sentence.",,,
,,,
All this old nonsense is only vanity and vexation of spirit.,,,
,,,
,"Cha vel mee er ve voish y thie booal erbee yn ollick shoh, son ta my lurgey feer ghonnagh. Tha shen sleih gholl rish shen chabbyl. Cha vel ad gys monney ymmyd. As ta nyn gherjyn gaase skee jiu, son dy vel ad ayns yn raaid roo, as feer vooiagh tra t’ad gheddyn rea roo. ",,
,When a person is over 70 years he is not of much account unless very healthy and strong. And the time afterward the wise faith* is only labour and sorrow - thulleeil as seaghyn.,,
,,,
"The Manx fishermen used to call the mear-man [merman] yn gilley beg, the little boy, but the Manx name was Polonagh.",,,
When they saw one they made a buttercake of oaten bread and threw it out.,Tra vagh ad jannoo braghton dy arran corkey as eem as cheau magh eh. ,,
,,,
,,,
"I have heard of a man that came on one of them on the shore and put him in the sea again. After that, when there was a storm near the mear man was always coming to inform him, and he was not caught in a storm as long as he went to sea.","Ta mee er clashtyn jeh dooinney ren cheet er unnane jiu er yn traie, as ren eh churt eh ayns y cheayn reesht. Ny lurg shen tra vagh sterrym er gerrey vagh yn polonagh cheet dy chur raue da as cha row eh ghoit ayns sterrym choad as v’eh gholl gys yn cheayn.",,
,,,
,,,
,Ta’n ushag veg rie ersooyl gys yn chrow,,
,Ny eeayn gys ny moiraghyn roie,,
,Ta’n oie er yn aarkey lesh cho-chaslys grow,,
,Dy gastey cheet voish y shiarhwoaie.,,
,,,
,Ta fainagh ny ghrainey ersooyl sheer harrish oar,,
,Gys faarkaghey lhean y sheer ass,,
,Ta’n ease ayns y shiar er nirree ayns gloayr,,
,as yn sheer ayns y coamrey glass.,,
,,,
,[from Kinnish “Lament for the mother tongue.”],,
,,,
,,,
There is a happy land,Ta cheer dy vanrys ayn,,
"Far, far away,","Foddey, foddey, jeh",,
"Where saints in glory stand,",Raad ta nooghyn shassoo,,
"Bright, bright as day.",Sollys fie ny laa.,,
,,,
,,,
,,,
,,,
,,,
,,,
,Raaid ta guyee ta check,,
,Raaid ta mraane ta pleat,,
,Raaid ta taleeyryn ta tollaghyn,,
,As raaid ta seyr ta spollagyn.,,
,,,
,Roie warree roie te yn skillen,,
,s’deyrey ren shiu rieu cosney,,
"Run granny run, it’s the dearest shilling that ever you won, the little boy said when his granny went for a hare before the hounds.",,,
,,,
,Ta’n niaragh er jeet lesh feearagh as rio,,
,"Ny shen cherree marroo as ny eeyn veggey bio,",,
,O irree shiu yilleyn as ghow shiu dyn chlieu,,
,Ta ny kerree fo niaghtee shen va nyn drayd* rieu.,,
,,,
,Thie feer voal va jeant eck Jack,,
,er raaid ny cloghyn garroo.,,
,Fer ny three chosh* vess scoaldagh as losht,,
,Lesh geeck er ny cabbyl marroo.,,
,,,
From a song by an old poet that lived at the side of Slieu Whallan.,,,
,,,
Paying for dead horses meant paying for the men two or three times for the one thing.,,,
,,,
,,,
,"Ta mee er clashtyn skeeal beg mysh saggyrt ren curt y vrichyn gys thaleir dy cherragh ad fastyr Jesarn as ren yn talier cur y vac thie lieu moghery Jedoonee. Myr ve er yn raaid gys thie yn saggyrt haink eh er edd shallon as ghow eh brichen yn saggyrt dy yeeley ny shellonyn ersool, as tra ve er gheddyn yn vill hie eh gys thie yn saggyrt lesh ny brichyn. Ren eh liggey shaghey marish ny shellonyn as ve tra da’n saggyrt dy gholl ayns yn keeil. Chur eh ny brichyn er ayns siyr as gow eh toshagh dy lheih ny padjeryn ayns y keeil, as ghow ny shallonyn toshagh dy cur nyn gahyn ayns y lheestyn as ghow eh toshagh dy lhemyragh as dy stambey as haink eh magh lesh ghoan nagh row cairagh dy ve loayrit ayns keeil.",,
,,,
"The ushag reish is a gray bird that lives on the top of the hills I never heard any name for them but ushag reish [ushag reaish, lit. bird of the waste, the mountain plover], they are very scarce at present I have not seen one of them for years. The lon dhoo is the blackbird. He lived on the hill tops once and the gray bird in the glens. They met sometime and the gray bird was telling the blackbird what a fine sunny place he had in the glens and wished to make an exchange for a short time. So they agreed, But the gray bird did not like the hill tops. But the black bird loved the glens and when the time was up, the gray bird was telling the blackbird to come back again, “Vel oo cheet lon dhoo, are ye coming blackbird?” And the blackbird was saying, “Coming, coming, coming, no never.”","Va’n ushag reish, v’ad gra, claghtey ghoaill ayns ny lhonteeyn as va’n lon-dhoo er ny sleityn. Dooyrt yn ushag reish rish yn lon dhoo dy row ny lhonteeyn ny share as ny s’fastee ny ne sleityn. As ren ad swopal. Va’n ushag reish dy gholl er ny sleityn as yn londoo dy gholl ayns ny lhonteeyn son traa gare. Tra va’n tra heose va’n ushag reish laghal cheet reesht gys ny lhonteeyn as cha row yn lon dhoo boiagh faagail ad, as rieu er dy hinney ta’n ushag reish geamagh “Vel oo cheet lon dhoo?” as ta’n lon dhoo gra, “cheet, cheet, cheet, cha jig dy bra.”",,
 So the gray bird had to live on the hills and the blackbird has remained in the glens unto the present.,,,
,,,
,,,
,,,
"My grandfather has been telling me about them when I was a little boy. I remember him catching one of the young gray birds. It could not fly, but it could run very fast, and he had a great race to catch it.",,,
,,,
,,,
"Scarlet is called gorrym jiarg and scarleod in the Bible, and I have seen it printed liarbrock [leeah breck] in the Son of Sirack’s Book.",,,
,,,
[Who can find a virtous woman for her price is far above rubies?],Quoi oddys ben ghresag vie y gheddyn son t’an leagh eck foddey erskin rubien?,,
,,,
,,,
,Ta mish er clashtyn mysh three deiney ghow orroo dy hoiljagh c’red va yn red stroshey ayns yn seihll. Dooyrt yn cheid fer dy re feen son dy jeanagh feen cur er dhoinney jannoo nhee erbee. Dooyrt yn nah er dy re airh dy jannagh deiney red erbee son airh. Dooyrt yn trass fer dy re ben dy jeanagh dooinney red erbee son mraane as va eshyn coontyt dy ve kart.,,
,,,
,,,
,C’red tow gholl?,,
,Gholl gys schooayl.,,
,Cred ta’n schooayl?,,
,Ayns y chlieu.,,
,Cred ta’n chlieu?,,
,Boall ve rieu.,,
,,,
,,,
,Ta’n ollick veg foyn vink*,,
,Ta’n ollick vooar cooyl thie,,
,Esht lhig dooin gholl er gys yn phurt,,
,Son lane bolg dy yough vie.,,
,,,
,,,
"I have heard tell of a woman saint that met the devil on a night when the ground was covered with snow, and he asked her some questions. - ",,,
,,,
,“C’red ta ny skilley ny ny sniaghtey syn oie?” ,,
,[What is whiter than snow in the night?],,
,Dooyrt ee - “Ny skilley ny shen ta flaunys thie Yee.” ,,
,[Whiter than that is the effulgence of God’s house.],,
,“C’red ta ny smessey ny ben?” ,,
,[What is worse than a woman?],,
,“T’an moileyder broagh ny smessey ny shen.” ,,
,[The dirty tempter is worse than that.],,
,I have forgotten the rest of the dialogue.,,
,,,
,,,
The sumner of each parish used to get a sheaf of corn out of one hundred sheaves. They called it yn vonney sunderagh [the sumner’s sheaf.] And the clark of the parish church used to get four pence for every pair of horses in the parish. They called it yn fyt* shesheragh. Shesheragh was a pair of horses. And he had a penny for every house that let out smoke. They called it ping y jeagh [jaagh].,,,
,,,
,,,
,"Ta mee wishal Ollick gennal diu as blein vie noa, nyn foshag* lane dy argid as nyn molg lane dy yough leein.*",,
,,,
,,,
,"Children dying without being baptised, their ghosts used to be lamenting in the churchyard in the dead of night.",,
,,,
,,,
"Some man was passing the church yard and he heard a little voice saying, Lhannoo dyn ennym mee, lhannoo dyn ennym mee [a child without a name I am, a child without a name I am.] And the man said, My she gilley oo ta mee bashtey oo Juan, as myr she inneen oo ta mee bashtey oo Joney. [If thou art a boy I christen thee John, and if thou art a girl I christen thee Joney]. Myr shen va yn scaah shen eck shee [therefore that ghost was at rest].",,,
,,,
,,,
"It is the custom yet to bury a still-born child at dead of night, as they are not allowed to be buried in consecrated ground.",,,
I have heard them calling a few hens griagh chark; and griagh Harry Kowin was three in number.,,,
,,,
"I did not see Harry Kowin nor his daughter Puy Harry Kowin, but I knew her son Billy mooar Puy Harry Kowin.",,,
,,,
"The farmers had their own private mark cut in sheep’s ears, and they said Billy mooar Puy Harry Kowin knew all the marks in the Island.",,,
,,,
,,,
,Gollish myr aley,,
,Whaley cooit fealey,,
,Thummey yn sned ayns ushtey,,
,Son nag ghogh ee aile.,,
,,,
Some old tailor was saying these lines while sewing.,,,
