English,Manx,Manx Orginal,Page,Notes
"1 Cor. x. 31. Whatsoever ye do, do all to the glory of God.","1 Cor. x. 31. Cre-erbee ta shiu dy yannoo, jean-jee ooilley gys gloyr Yee.",,49,
Q. What is it to honour God’s Word?,Q. Cre te dy chur arrym da goo Yee?,,49,
A. It is reverently to read and hear the Holy Scriptures; and to use with Respect whatever has a more immediate Relation to God and his Service.,A. Te dy-arrymagh dy lhaih as dy chlashtyn ny Scriptyryn casherick; as dy hoilshaghey yn arrym cheddin da cre-erbee ta ny s’niessey bentyn gys Jee as e hirveish.,,49,
Q. How do you prove it your Duty thus to honour God’s Word?,Q. Kys t’ow prowal eh dty churrym myr shoh dy chur arrym da goo Yee?,,50,
"A. From Col. iii. 16. Let the word of Christ dwell in you richly, in all wisdom.","A. Veih Col. iii. 16. Lhig da ghoo [sic] Chreest tannaghtyn ayn-diu dy-palchey, ayns dy-chooilley chreenaght.",,50,
"Jam. i. 21, 22. Receive with meekness the ingrafted word, which is able to save your souls. But be ye doers of the word, and not hearers only, deceiving your own selves.","Jam. i. 21, 22. Gow-jee lesh meenid yn goo ta fraueit ayndiu, ta fondagh dy hauail nyn anmeenyn. Agh bee-jee shiuish jeantee jeh’n goo, as cha nee ny-lomarcan clashtyn rish, molley shiu hene.","Jam. i. 21 22. Gow-jee lesh meenid yn goo ta fraueit ayndiu, ta fondagh dy hauail nyn anmeenyn. Agh bee-jee shiuish jeantee jeh’n goo, as cha nee ny-lomarcan clashtyn rish, molley shiu hene.",50,
Lev. x. 3. I will be sanctified in them that come nigh me.,Lev. x. 3. Bee’m er my chasherickey ayndoosyn ta cheet er-gerrey dou.,,50,
Q. What is the fourth Commandment?,Q. Cre ta’n chiarroo anney?,,50,
"A. Remember that thou keep holy the Sabbath Day. Six Days shalt thou labour, and do all that thou hast to do; but the seventh Day is the Sabbath of the Lord thy God. In it thou shalt do no manner of Work, thou and thy Son, and thy Daughter, thy Man-servant, and thy Maid-servant, thy Cattle, and the Stranger that is within thy Gates. For in six Days the Lord made Heaven and Earth, the Sea, and all that in them is, and rested the seventh Day, wherefore the Lord blessed the seventh Day, and hallowed it.","A. Cooinee dy vreill oo yn doonaght dy-casherick. Shey laa nee oo laboraght, as ooilley ny t’ayd y yannoo; agh y chiaghtoo laa doonaght yn Chiarn dty Yee. Er cha jean oo monney erbee dy obbyr, uss, as dty vac, as dt’ inneen, dt’ er-mooinjerey, as dt’ inney-veyl, dt’ ollagh, as y joarree t’er cheu-sthie jeh dty ghiattyn. Son ayns shey laa chroo yn Chiarn niau as thalloo, yn faarkey, as ooilley ny t’ayndoo, as ghow eh fea yn chiaghtoo laa; shen-y-fa vannee yn Chiarn y chiaghtoo laa, as ren eh eh y chasherickey.",,50,
Q. What doth the word Sabbath signify?,Q. Cre t’er ny hoiggal liorish y fockle Doonaght?,,50,
A. It signifies Rest.,A. Liorish t’er ny hoiggal Fea.[29],,50,"[29] Because Manx does not borrow the Hebrew word Sabbath, this question-answer pair does not make much sense in Manx."
Q. What is meant by God’s hallowing the seventh Day?,Q. Cre t’er ny hoiggal liorish Jee casherickey yn chiaghtoo laa?,,50,
A. ’Tis his setting it apart for holy Uses.,A. Te dy ren eh eh y hoiaghey er-lheh son ymmydyn casherick.,,51,
Q. What are those holy Uses which the Sabbath was set apart for?,Q. Cre ta ny ymmydyn casherick shoh er nyn son va’n doonaght soit er-lheh.,,51,
A. It was set apart for the publick and private worship of God.,A. Ve soit er-lheh ry-hoi ooashley ’choyrt da Jee dy-foshlit as dy-follit.,,51,
Q. In what does the public Worship of God consist?,Q. Cre ayns ta ooashley ’choyrt da Jee dy-foshlit shassoo?,,51,
"A. It consists in Prayer, Hearing the word of God read and preached, in Setting forth his Praise, and in Receiving the Sacrament.","A. Te shassoo ayns padjer, clashtyn goo Yee lhait as er ny phreacheil, ayns soiaghey magh e voylley, as ayns goaill y Chreestiaght.",,51,
Q. Wherein does the private Worship of God consist?,Q. Cre ayns ta ooashley ’choyrt da Jee dy-follit shassoo?,,51,
"A. It consists in Prayer, Reading, and Meditation on the Word and Works of God.","A. Te shassoo ayns padjer, lhaih, as smooinaghtyn dy-dowin er goo as obbraghyn Yee.",,51,
Q. What is required farther in this Commandment?,Q. Cre sodjey t’er ny hirrey ’syn anney shoh?,,51,
A. It requires that we rest from all servile and ordinary Employments.,A. Te er ny hirrey dy jean mayd fea y ghoaill veih dy-chooilley obbyr doccyragh as cadjin.,,51,
"Q. Why do Christians observe the first day of the week as a Sabbath, and not the seventh?","Q. Cre’n-fa ta Creesteenyn freayll yn chied laa jeh’n chiaghtin myr y Doonaght, as cha nee yn chiaghtoo?",,51,
A. Because on the first Day of the Week Christ arose from the dead.,A. Er-yn-oyr dy nee er y chied laa jeh’n chiaghtin dirree Creest veih ny merriu.,,51,
Q. What proof have you of this Practice of observing the first Day of the week as the Sabbath?,Q. Cre’n phrowal t’ayd jeh’n cliaghtey shoh jeh freayll yn chied laa jeh’n chiaghtin myr y Doonaght?,,51,
"A. From John xx. 19. The same day at evening, being the first day of the week, when the doors were shut, where the disciples were assembled for fear of the Jews, came Jesus and stood in the midst, and saith unto them, Peace be unto you.","A. Veih Ean. xx. 19. Er y laa cheddin, yn chied laa jeh’n chiaghtin, ayns yn astyr, tra va ny dorryssyn jeiht, raad va ny ostyllyn er nyn jaglym cooidjagh ayns aggle roish ny Hewnyn, haink Yeesey as hass eh kiongoyrt roo, as dooyrt eh roo, Shee dy row hiu.",,52,
"Acts. xx. 7. Upon the first day of the week, when the disciples came together to break bread, Paul preached unto them.","Jannoo. xx. 7. Er y chied laa jeh’n chiaghtin, tra va shin er jeet cooidjagh dy vrishey arran, ren Paul preacheil daue.",,52,
Q. What is the Sum of what is required in these first four Commandments?,Q. Cre ta bun ny t’er ny hirrey ayns ny chied chiare annaghyn shoh?,,52,
A. To serve God truly all the days of my life.,A. Dy hirveish Jee dy-firrinagh ooilley laghyn my vea.,,52,
SECT. IX.,SECT. IX.,,52,
,,,52,
Of our Duty towards our Neighbour; contained in the six last Commandments.,Mychione nyn gurrym gys nyn Naboo; soit magh ayns ny shey annaghyn s’jerree.,,52,
,,,52,
Q. What is the fifth Commandment?,Q. Cre ta’n wheiggoo anney?,,52,
"A. Honour thy Father and thy Mother, that thy Days may be long in the Land which the Lord thy God giveth thee.","A. Cur arrym da dty ayr as da dty voir, dy vod dty laghyn ve beayn er y thalloo ta’n Chiarn dty Yee dy chur dhyt.",,52,
Q. What is required in this Commandment?,Q. Cre t’er ny hirrey ’syn anney shoh?,,52,
"A. I am required in it to love, honour, and succour my Father and Mother; to honour and obey the King, and all that are put in Authority under him: to submit myself to all my Governors, Teachers, spiritual Pastors, and Masters; to order myself lowly and reverently to all my Betters.","A. Te er ny hirrey orrym ’syn anney shoh dy chur graih, ooashley as kemmyrk da m’ ayr as da my voir; dy chur ooashley as  biallys da’n Ree, as da ooilley ny ta er ny choyrt ayns pooar fo. Dy m’injillaghey hene gys ooilley my chiannoortyn, fir-ynsee, bochillyn spyrrydoil as mainshtyryn. Dy ymmyrkey mee hene dy-injil as dy-biallagh gys dagh unnane share na mee.",,52,
"Q. How do you prove it your Duty to love, honour, and succour your Father and Mother?","Q. Kys t’ow prowal eh dty churrym dy chur graih, ooashley, as kemmyrk da dty ayr as dty voir?",,53,
"A. From Matt. xv. 4. God commanded, saying, Honour thy father and mother.","A. Veih Mian xv. 4. Hug Jee saarey, gra, Cur arrym da dt’ ayr as da dty voir,",,53,
"Eph. vi. 1. Children, obey your parents in the Lord, for this is right.","Eph. vi. 1. Chloan, cur-jee biallys da nyn ayraghyn as moiraghyn ayns y Chiarn, son ta shoh cair.",,53,
"1 Tim. v. 4, If any widow have children or nephews [grandchildren] let them learn first to show piety [kindness] at home, and to requite their parents; for that is good and acceptable before God.","1 Tim. v. 4. My ta ec ben-treoghe erbee cloan ny ogheyn,[30] lhig daue hoshiaght gynsaghey dy hoilshaghey kenjallys dooie ec y thie, as dy yannoo lhiasagh da nyn ayraghyn as moiraghyn: son ta shen mie as soiaghey er ny yannoo jeh fenish Yee.",,53,"[30] ogheyn] ‘grandchildren’, Cregeen oeghyn, but spelt ogheyn in the Bible here, homograph of ogheyn ‘ovens’."
Q. How do you prove what the Parents Duty is towards their Children?,Q. Kys t’ow prowal cre ta currym ayraghyn as moiraghyn gys nyn gloan?,,53,
"A. From Eph. vi. 4. Ye fathers, provoke not your children to wrath; but bring them up in the nurture and admonition of the Lord.","A. Veih Eph. 6. 4.[31] Shiuish ayraghyn, ny brasnee-jee nyn gloan gys corree: agh trogg-jee ad ayns ynsagh as aggle y Chiarn.",,53,"[31] Exceptionally, here and in the next line, arabic numerals are used for numbering the books of the Bible."
Heb. xii. 7. What son is he whom the father chasteneth not?,Heb. 12. 7. Quoi’n mac shen nagh vel e ayr dy smaghtaghey?,,53,
"Q. How do you prove it your Duty to honour and obey the King, and all that are put in Authority under him?","Q. Kys t’ow prowal eh dty churrym dy chur ooashley as biallys da’n Ree, as da ooilley ny t’er ny choyrt ayns pooar fo?",,53,
A. From Rom. xiii. 1. Let every soul be subject unto the higher powers.,A. Veih Rom. xiii. 1. Lhig da dy-chooilley annym ve biallagh dy ny pooaraghyn syrjey.,,54,
"Titus iii. 1. Put them in mind to be subject to principalities and powers; to obey magistrates, to be ready to every good work.","Titus iii. 1. Cur ad ayns cooinaghtn dy ve biallagh gys ard-reilltee as pooaraghyn; dy ve ammyssagh da fir-oik, dy ve arryltagh gys dy-chooilley obbyr vie.",,54,
"1 Pet. ii. 13, 14. Submit yourselves to every ordinance of man for the Lord’s sake; whether it be to the king, as supreme; or unto governors, as unto them that are sent by him for the punishment of evil-doers, and for the praise of them that do well.","1 Phed. ii. 13, 14. Jean-jee shiu hene y injillaghey gys dy-chooilley leigh er ny oardaghey liorish deiney er graih yn Chiarn; edyr eh ve gys y ree, myr yn ard fer-reill; ny gys kiannoortyn, myr dauesyn t’er nyn goyrt ayns pooar fo, son kerraghey drogh-yantee, as son y moylley ocsyn ta jannoo dy-mie.","1 Ped. ii. 13, 14. Jean-jee shiu hene y injillaghey gys dy-chooilley leigh er ny oardaghey liorish deiney er graih yn Chiarn; edyr eh ve gys y ree, myr yn ard fer-reill; ny gys kiannoortyn, myr dauesyn t’er nyn goyrt ayns pooar fo, son kerraghey drogh-yantee, as son y moylley ocsyn ta jannoo dy-mie.",54,
"Q. How do you prove it your Duty to submit yourself to your spiritual Governors, Teachers, and Pastors?","Q. Kys t’ow prowal eh dty churrym dy injillaghey oo hene gys dty chiannoortyn spyrrydoil, fir-ynsee, as bochillyn-anmey?","Q. Kys t’ow prowal eh dty churrym dy injillaghey oo hene gys dty chiannoortyn spyrrydoil, fir-ynsee, as bochillyn-anmey",54,
"A. From Heb. xiii. 17. Obey them that have the rule over you, and submit yourselves, for they watch for your souls, as they that must give account, that they may do it with joy, and not with grief: for that is unprofitable for you.","A. Veih Heb. xiii. 17. Cur-jee biallys dauesyn ta reill harrystiu, as bee-jee arrymagh daue, son t’ad nyn arrey son ny anmeenyn eu, myr adsyn shegin coontey choyrt, dy vod ad shen y yannoo lesh boggey, as cha nee lesh trimshey: son ta shen neu-vondeishagh diu.",,54,
"1. Tim. v. 17. Let the elders that rule well be counted worthy of double honour, especially they who labour in the word and doctrine.","1 Tim. v. 17. Lhig da ny shanstyryn ta reill dy-mie, ve coontit feeu jeh ooashley dooble; er-skyn ooilley adsyn ta laboragh ’sy ghoo as ynsagh.",,54,
Q. How do you prove it the Duty of Servants to submit to their Masters?,Q. Kys t’ow prowal eh currym sharvaantyn dy chur biallys da nyn mainshtyryn?,,55,
"A. From Eph. vi. 5, 6. Servants, be obedient to them that are your masters according to the flesh, with fear and trembling, in singleness of your heart, as unto Christ: not with eye-service, as men-pleasers, but as the servants of Christ, doing the will of God from the heart.","A. Veih Eph. vi. 5, 6. Shiuish harvaantyn, bee-jee biallagh dauesyn ta nyn mainshtyryn cordail rish yn eill, lesh aggle as arrym, ayns ynrickys cree, myr da Creest: cha nee lesh shirveish-sooilley myr dy wooïys deiney, agh myr sharvaantyn Chreest, jannoo aigney Yee veih nyn gree.",,55,
"Tit. ii. 9, 10. Exhort servants to be obedient unto their own masters, and to please them well in all things; not answering again, not purloining, but shewing all good fidelity, that they may adorn the doctrine of God our saviour in all things.","Tit. ii. 9. 10. Coyrlee sharvaantyn dy ve biallagh da nyn mainshtyryn hene, as dy wooïys ad dy-mie ayns dy chooilley nhee: cha nee perkinnagh, cha nee myngyragh, agh soilshaghey slane jeajys firrinagh: dy vod ad soiaghey magh ynsagh Yee nyn Saualtagh ayns dy-chooilley nhee.",,55,
"1 Pet. ii. 18. Servants, be subject to your masters with all fear, not only to the good and gentle, but also to the froward.","1 Phed. ii. 18. Harvaantyn, bee-jee biallagh da nyn mainshtyryn lesh slane arrym, cha nee ny-lomarcan dauesyn ta mie as dooie, agh myrgeddin dauesyn ta creoi dy ghellal roo.",,55,
Q. How do you prove the Duty of Masters towards their Servants?,Q. Kys t’ow prowal currym mainshtyryn gys nyn sharvaantyn?,,55,
"A. From Col. iv. 1. Masters, give unto your servants that which is just and equal, knowing that ye also have a master in heaven.","A. Veih Col. iv. 1. Shiuish vainshtyryn, cur-jee da nyn sharvaantyn shen ny ta cairagh as cooie, toiggal dy vel eu hene myrgeddin mainshtyr ayns niau.",,55,
"Eph. vi. 9. Ye masters, do the same things unto them, forbearing threatening; knowing that your master also is in heaven, neither is there respect of persons with him.","Eph. vi. 9. Shiuish vainshtyryn, jean-jee lheid cheddin roosyn, shaghney baggyrt: toiggal shoh, dy vel mainshtyr eu hene myrgeddin ayns niau, cha-moo t’eh jannoo soiagh jeh persoonyn.",,55,
Q. How do you prove it your Duty to order your self lowly and reverently to all your Betters?,Q. Kys t’ow prowal eh dty churrym dy ymmyrkey oo hene dy-injil as dy-biallagh gys dagh unnane share na oo?,,56,
"A. From 1 Pet. v. 5. Ye younger, submit yourselves unto the elder.","A. Veih 1 Phed. v. 5. Shiuish sleih aegey, bee-jee arrymagh da’n chenndeeaght.",,56,
Eph. v. 21. Submitting yourselves one to another in the fear of God.,Eph. v. 21. Ginjillaghey shiu hene yn derrey yeh gys y jeh elley ayns aggle Yee.,,56,
Q. What is the sixth Commandment?,Q. Cre ta’n cheyoo anney?,,56,
A. Thou shalt do no Murder.,A. Cha jean oo dunverys.,,56,
Q. What is the Sin forbidden in this Commandment?,Q. Cre ta’n peccah t’er ny lhiettal ’syn anney shoh?,,56,
"A. The Sin of Murder, or the wilful Killing of our Neighbour.","A. Yn peccah dy ghunverys, ny dy varroo my naboo jeh my yoïn.",,56,
Q. What is required in this Commandment?,Q. Cre t’er ny hirrey ’syn anney shoh?,,56,
A. To love my Neighbour as myself; and to do to all Men as I would they should do to me; to hurt no Body by Word or Deed; and to bear no Malice or Hatred in my Heart.,"A. Dy chur graih da my naboo myr dou hene, as dy yannoo rish dy-chooilley ghooinney myr baïll-ym ad dy yannoo rhym; gyn aggair y yannoo da dooinney erbee liorish goo ny jannoo; as gyn goanlys ny myskit y reayll ayns my chree.",,56,
Q. How do you prove it your Duty to love your Neighbour as yourself?,Q. Kys t’ow prowal eh dty churrym dy chur graih da dty naboo myr dhyt hene?,,56,
"A. From Jam. ii. 8. If ye fulfil the royal law according to the scripture, Thou shalt love thy neighbour as thyself, ye do well.","A. Veih Jam. ii. 8. My ta shiu cooilleeney yn leigh reeoil, cordail rish y Scriptyr, Ver oo graih da dty naboo myr dhyt hene, ta shiu jannoo dy-mie.",,56,
"Joh. xiii. 34. A new commandment I give unto you, That ye love one another; as I have loved you, that ye also love one another.","Ean xiii. 34. Saarey noa ta mee dy choyrt diu, shiu dy ve graihagh yn derrey yeh er y jeh elley; myr ta mish er ve graihagh erriuish, dy der shiuish myrgeddin graih yn derrey yeh da’n jeh elley.",,56,
Q. How do you prove it your Duty to do to all Men as you would they should do unto you?,Q. Kys t’ow prowal eh dty churrym dy yannoo rish dy-chooilley ghooinney myr baïllt ad dy yannoo rhyt?,,57,
"A. From Matt. vii. 12. All things whatsoever ye would that men should do to you, do ye even so to them. ","A. Veih Mian vii. 12. Dy-chooilley nhee cre-erbee baïlliuish deiney dy yannoo riuish, jean-jee shiuish myr shen roosyn.",,57,
"Luke vi. 31. As ye would that men should do to you, do ye also to them likewise.","Luke vi. 31. Myr bailliuish deiney dy yannoo riuish, jean-jee shiuish myrgeddin roosyn.",,57,
Q. How do you prove it your Duty to hurt no Body by Word or Deed?,Q. Kys t’ow prowal eh dty churrym gyn dy yannoo aggair da dooinney erbee liorish goo ny jannoo?,Q. Kys t’ow prowal eh dty churrym gyn dy yannoo aggair da dooinney erbee liorish goo ny jannoo,57,
"A. From Rom. xii. 17, 18. Recompense to no man evil, for evil. If it be possible, as much as lieth in you, live peaceably with all men.","A. Veih Rom. xii. 17, 18. Ny jean-jee olk son olk y chooilleeney da dooinney erbee. My oddys eh ve, wheesh as t’ayns nyn booar, jean-jee beaghey ayns shee rish dy-chooilley ghooinney.",,57,
"Eph. iv. 31. Let all bitterness, and wrath, and anger, and clamour, and evil-speaking, be put away from you.","Eph. iv. 31. Lhig da dy-chooilley roonid, as jymmoose, as farg, as beealleraght, as oltooan ve eeb’rit veu. ",,57,
Q. How do you prove it your Duty to bear no Malice or Hatred in your Heart?,Q. Kys t’ow prowal eh dty churrym gyn dy reayll goanlys ny myskit ayns dty chree?,,57,
"A. From Col. iii. 8. Put off all these; anger, wrath, malice.","A. Veih Col. iii. 8. Cur-jee veu ooilley ny reddyn shoh; corree, jymmoose, goanlys.","A. Veih Col. iii. 8. Cur-jee veu ooilley ny reddyn shoh; corree, jymmoose goanlys.",57,
"1 John iii. 15. Whosoever hateth his brother, is a murderer; and ye know, that no murderer hath eternal life abiding in him.","1 Ean iii. 15. Quoi-erbee ta dwoaie echey er e vraar, t’eh ny ghunver; as ta fys eu nagh vel ec dunver erbee yn vea dy-bragh farraghtyn tannaghtyn ayn.",,57,
Eph. iv. 26. Let not the sun go down upon your wrath.,Eph. iv. 26. Ny lhig da’n ghrian lhie er y chorree eu.,,58,
Q. What is the seventh Commandment?,Q. Cre ta’n chiaghtoo anney?,,58,
A. Thou shalt not commit Adultery.,A. Cha brish oo poosey.,,58,
Q. What is forbidden in this Commandment?,Q. Cre t’er ny lhiettal ’syn anney shoh?,,58,
"A. The acting any manner of Uncleanness, and the encouraging any Desire of, and Inclination to it.","A. Dy chur rish monney erbee dy neu-ghlennid, as dy ghreinnaghey yeearree ny foalley ny aigney erbee huggey.",,58,
Q. What is required in this Commandment?,Q. Cre t’er ny hirrey ’syn anney shoh?,,58,
"A. To keep my Body in Temperance, Soberness, and Chastity.","A. Dy reayll my chorp fo smaght, sheeltys, as glennid.",,58,
Q. How do you prove it your Duty to keep your Body in Temperance and Soberness?,"Q. Kys t’ow prowal eh dty churrym dy reayll dty chorp fo smaght, as sheeltys?",,58,
"A. From Luke xxi. 34. Take heed to yourselves, lest at any time your hearts be overcharged with surfeiting, and drunkenness, and cares of this life.","A. Luke xxi. 34. Cur-jee twoaie diu hene, er aggle ec traa erbee dy bee ny creeaghyn eu rouyr laadit lesh jooïd ass meshtyllys, as kiarail y vea shoh.","A. Luke xxi. 34. Cur-jee twoaie diu hene, er aggle ec traa erbee dy bee ny creeaghyn eu rouyr laadid lesh jooïd ass meshtyllys, as kiarail y vea shoh.",58,
Rom. xiii. 13. Let us walk honestly as in the day; not in rioting and drunkenness.,Rom. xiii. 13. Lhig dooin gimmeeaght dy-onneragh myr ayns y laa; cha nee ayns rouanys as meshtyllys.,,58,
"Eph. v. 18. Be not drunk with wine, wherein is excess.",Eph. v. 18. Ny bee-jee er-meshtey lesh feeyn ayn ta neu-heeltys.,,58,
Q. How do you prove it your Duty to keep your Body in Chastity?,Q. Kys t’ow prowal eh dty churrym dy reayll dty chorp ayns glennid?,,58,
"A. From 1 Thess. iv. 7. God hath not called us to uncleanness, but unto holiness.","A. Veih 1 Thess. iv. 7. Cha vel Jee er n’eamagh orrin gys neu-ghlennid, agh gys casherickys.",,58,
"1 Cor. vi. 18. Flee fornication: he that committeth fornication, sinneth against his own body.","1 Cor. vi. 18. Chea-jee veih maarderys: eshyn ta cur rish maarderys, t’eh jannoo peccah noi e chorp hene.",,59,
"Eph. v. 5. This ye know, that no whoremonger, nor unclean person, hath any inheritance in the kingdom of Christ, and of God.","Eph. v. 5. Shoh ta fys eu er, nagh vel ec maarderagh erbee, ny persoon neu-ghlen, eiraght eddyr ayns reeriaght Chreest as Yee.",,59,
Heb. xiii. 4. Whoremongers and adulterers God will judge. ,Heb. xiii. 4. Maarderee as adsyn ta brishey poosey nee Jee briwnys.,,59,
Col. iii. 8. —Put —filthy communication out of your mouth.,Col. 3. 8. Cur-jee glaare neu-ghlen ass nyn meeall.,,59,
Q. What is the eighth Commandment?,Q. Cre ta’n hoghtoo anney?,,59,
A. Thou shalt not Steal.,A. Cha jean oo geid.,,59,
Q. What is forbidden in this Commandment?,Q. Cre t’er ny lhiettal ’syn anney shoh?,,59,
"A. The taking away, or detaining from another by Force or Deceit, that which is his Right.","A. Dy ghoaill ersooyl, ny dy reayll veih persoon erbee elley liorish tranlaase ny molteyrys, shen ny ta e chair.",,59,
Q. What is required of you in this Commandment?,Q. Cre t’er ny hirrey ort ’syn anney shoh?,,59,
"A. I am required to be true and just in all my Dealings; to keep my Hands from Picking and Stealing: to learn and labour truly to get my own Living, and to do my duty in that State of Life, unto which it shall please God to call me.","A. Te er ny hirrey orrym dy ve firrinagh as jeeragh ayns ooilley my ghellal; dy reayll my laueyn veih myngyraght as geid; dy ynsaghey as dy laboraght dy-firrinagh dy gheddyn my veaghey hene, as dy chooilleeney my churrym ayns y stayd shen dy vea, huggey scooidsave lesh Jee ve er n’eamagh orrym.",,59,
Q. How do you prove it to be your Duty to be true and just in all your Dealings?,Q. Kys t’ow prowal eh dty churrym dy ve firrinagh as jeeragh ayns ooilley dty ghellal?,,59,
"A. From Rom. xiii. 7, 8. Render to all their dues. Owe no man any thing.","A. Veih Rom. xiii. 7, 8. Eeck-jee da dy-chooilley unnane e chair. Ny bee-jee fo lhiastynys son nhee erbee da dooinney erbee.",,60,
"Lev. xxv. 14. If thou sell ought unto thy neighbour, or buyest ought of thy neighbour’s hand, ye shall not oppress one another.","Lev. xxv. 14. My chreckys oo nhee erbee rish dty naboo, ny nhee erbee y chionnaghey veih laue dty naboo, cha jean shiu tranlaase y yannoo yn derrey yeh er y jeh elley.[33]",,60,"[33] 1771: As my t’ou creck veg rish dty naboo, ny kionnaghey veih laue dty naboo; cha jean shiu tranlaase er y cheilley."
"Jer. xxii. 13. Wo to him who buildeth his house by unrighteousness, and his chambers by wrong; who useth his neighbour’s service without wages.","Jer. xxii. 13. Smerg dasyn ta troggal e hie liorish mee-chairys, as e hiamyryn liorish aggair; ta goaill laboraght e naboo fegooish faïll.[34]",,60,"[34] 1771: Smerg dasyn ta troggal e hie liorish molteyrys, as e hiamyryn liorish aggair; ta goaill obbyr e naboo fegooish faill"
Q. How do you prove it your Duty to keep your Hands from Picking and Stealing?,Q. Kys t’ow prowal eh dty churrym dy reayll dty laueyn veih myngyraght as geid?,,60,
"A. From Eph. iv. 28. Let him that stole, steal no more.","A. Veih Eph. iv. 28. Lhig dasyn ren geid, gyn geid arragh.",,60,
1 Thess. iv. 6. That no man go beyond and defraud his brother in any matter.,1 Thess. iv. 6. Nagh lhisagh dooinney erbee vondeish y ghoaill er e vraar as eh y volley ayns cooish erbee.,,60,
"Q. How do you prove it your Duty to learn and labour to get your own Living honestly, in that State of Life unto which it shall please God to call you?","Q. Kys t’ow prowal eh dty churrym dy ynsaghey as dy laboraght dy gheddyn dty veaghey hene dy-onneragh, ’sy stayd shen dy vea huggey scooidsave lesh Jee ve er n’eamagh ort?",,60,
"A. From Eph. iv. 28. Rather let him labour, working with his hands the thing which is good.","A. Veih Eph. iv. 28. Ny sleaie lhig da laboragh, gobbraghey lesh e laueyn shen ny ta mie.",,60,
"1 Thess. iv. 11. That ye study to be quiet, and to do your own business, and to work with your own hands.","1 Thess. iv. 11. Dy jean shiu kiarail y ghoaill dy ve feagh, as dy yannoo nyn obbyr hene, as dy laboragh lesh nyn laueyn hene.",,61,
"2 Thess. iii. 12. We command, and exhort by our Lord Jesus Christ, that with quietness they work, and eat their own bread.","2 Thess. iii. 12. Ta shin cur saarey as raaue liorish nyn Jiarn Yeesey Creest, dy jean ad gobbraghey dy-feagh, as gee yn arran oc hene.",,61,
"Q. How do you prove it your Duty to relieve the Poor, according to the State of Life in which you are placed?",Q. Kys t’ow prowal eh dty churrym dy yannoo feaysley er ny boghtyn cordail rish y stayd dy vea t’ow ayn?,,61,
A. From Luke xi. 41. Give alms of such things as ye have.,A. Veih Luke ii. 41 Cur-jee lheid as t’eu da ny boghtyn.,,61,
"Acts xx. 35. Ye ought to support the weak, and to remember the words of the Lord Jesus, how he said, It is more blessed to give than to receive.","Jannoo xx. 35. Lhisagh shiu kemmyrk y choyrt da ny hannooinee; as cooinaghtyn er goan y Chiarn Yeesey, kys dooyrt eh, Te bannaght smoo dy choyrt na dy ghoaill.",,61,
"Eph. iv. 28. Let him labour, working with his hands, that he may have to give to him that needeth.","Eph. iv. 28. Lhig da laboragh, gobbraghey lesh e laueyn, dy vod ve echey dy choyrt da’n ymmyrchagh.",,61,
Q. What is the ninth Commandment?,Q. Cre ta’n nuyhoo anney?,,61,
A. Thou shalt not bear false Witness against thy Neighbour.,A. Cha nymmyrk oo feanish foalsey noi dty naboo?,,61,
Q. What is the Sin here forbidden?,Q. Cre ta’n peccah t’ayns shoh er ny lhiettal?,,61,
"A. The unjust Accusation of any Body, whether on Oath or otherwise.","A. Dy gheyrey peccagh erbee dy-neu-chairagh, edyr er my loo ny er aght erbee elley.",,61,
Q. How do you prove this is forbidden you?,Q. Kys t’ow prowal dy vel shoh er ny lhiettal dhyt?,,61,
A. From Luke iii. 14. Neither accuse any falsly.,A. Veih Luke iii. 14. Ny jean-jee dooinney erbee y phlaint dy-aggairagh.,,62,
Q. What is required in this Commandment?,Q. Cre t’er ny hirrey ’syn anney shoh?,,62,
"A. To keep my Tongue from Evil-speaking, Lying, and Slandering; to vindicate my Neighbour when I know he is wronged; and to judge the most charitably of others.","A. Dy reayll my hengey veih drogh ghoan, breagyn, as scammyltyn; dy heyrey ny dy loayrt dy-foayroil jeh my naboo tra ta fys aym dy vel aggair er ny choyrt da; as dy vriwnys yn aght s’giastyllee jeh feallagh elley.",,62,
Q. How do you prove it your Duty to keep your Tongue from Evil-speaking and Slandering?,Q. Kys t’ow prowal eh dty churrym dy reayll dty hengey veih drogh ghoan as scammyltyn?,,62,
"A. From Jam. i. 26. If any man among you seem to be religious, and bridleth not his tongue, this man’s religion is vain.","A. Veih Jam. i. 26. My ta dooinney erbee nyn mast’ eu ta ayns fakin dy ve crauee, as nagh vel smaghtaghey e hengey, ta craueeaght yn dooinney shoh fardail.",,62,
Tit. iii. 2. Speak evil of no man.,Tit. iii. 2. Ny loayr-jee olk jeh dooinney erbee.,,62,
Jam. iv. 11. Speak not evil one of another.,Jam. iv. 11. Ny loayr-jee olk yn derrey yeh jeh’n jeh elley.,,62,
Q. How do you prove it your Duty to keep your Tongue from Lying?,Q. Kys t’ow prowal eh dty churrym dy reayll dty hengey veih breagyn?,,62,
"A. From Eph. iv. 25. Putting away lying, speak every man truth with his neighbour; for we are members one of another.","A. Veih Eph. iv. 25. Treigeil breagyn, lhig da dy-chooilley ghooinney yn irriney y loayrt rish e naboo: son ta shin oltyn yn derrey yeh jeh’n jeh elley.",,62,
Col. iii. 9. Lie not one to another.,Col. iii. 9. Ny jean-jee breg ry chielley.,,62,
