English,Manx,Page,Manx Original,Notes
"M. Believe on the Lord Jesus Christ, and thou shalt be saved, Acts xvi. 31. This is the work of God, that ye believe in him whom he hath sent, John vi. 29. And by him all that believe are justified from all things, Acts. xiii. 39. Come, naked, sinful, and helpless as you are to God through Christ for mercy. He is able to save to the uttermost all those who came unto God through him, seeing he hath died for them, and ever liveth to make Intercession for them, Heb. vii. 25. He can wash you from the guilt of all your sins, destroy the power and dominion of sin in you, sanctify you thoroughly in body, soul, and spirit, and present you to the Father without spot or blemish.","B. “Jean chredjal ayns y Chiarn Yeesey Chreest, as bee oo er dty hauail,” (Jannoo ny Hostyllyn xvi. 31.) Shoh obbyr Yee “shiu dy chredjal aynsyn t’eh er choyrt,” (Ean vi. 29.) “As liorishyn ta ooilley ny ta credjal er ny heyrey veih dy-chooilley nhee, voue nagh voddagh shiu v’er ny heyrey liorish leigh Voses,”[11] (Jannoo ny Hostyllyn xiii. 39.) Tar  rooisht, peccoil as dyn cooney, myr t’ou, gys JEE trooid Chreest son myghin . “T’eh pooaral dy hauail gys y chooid sodjey adsyn ta cheet gys JEE liorishyn fakin [13]dy vel eh dy bragh bio dy yannoo stiagh (rish Jee) er nyn son,” (Heb. vii. 25.) T’eh fondagh dy niee oo veih loght ooilley dty pheccaghyn, dy chur mow niart as reill peccah aynyd, “dy slane oo y chasherickey ayns callin, annym as spyrryd as dy hebbal oo gyn loght gys yn Ayr.”",13,"B. “Jean chredjal ayns y Chiarn Yeesey Chreest, as bee oo er dy hauail,” (Jannoo ny Hostyllyn xvi. 31.) Shoh obbyr Yee “shiu dy chredjal aynsyn t’eh er choyrt,” (Ean vi. 29.) “As liorishyn ta ooilley ny ta credjal er ny heyrey veih dy-chooilley nhee, voue nagh voddagh shiu v’er ny heyrey liorish leigh Voses,”[11] (Jannoo ny Hostyllyn xiii. 39.) Tra  rooisht, peccoil as dyn cooney, myr t’ou, gys JEE trooid Chreest son myghin . “T’eh pooaral dy hauail gys y chooid sodjey adsyn ta cheet gys JEE liorishyn fakin [13]dy vel eh dy bragh bio dy yannoo stiagh (rish Jee) er nyn son,” (Heb. vii. 25.) T’eh fondagh dy niee oo veih loght ooilley dty pheccaghyn, dy chur mow niart as reill peccah aynyd, “dy slane oo y chasherickey ayns callin, annym as spyrryd as dy hebbal oo gyn loght gys yn Ayr.”","[11] The second phrase added in the Manx translation: 'from which ye could not be justified by the law of Moses.’
[13] The English adds to the Gospel text ‘hath died for them, and’, while the Manx quotes the gospel verbatim."
"P. I have no manner of doubt of Christ’s power to save, for he is the Son of God. But I fear, I am not a fit person to be saved. ","F. Ta slane shickyrys aym jeh niart Chreest dy hauail, son she Mac YEE eh, agh ta mee ghoaill aggle nagh vel mee cooie dy ve er ny hauail.",14,,
"M. In order to determine that, look into your Bible. There this offer of salvation is made: Christ Jesus came into the world to save sinners, I Tim. i. 15. Now what think you? Are you of the number he came to save, or are you not?","B. Dy vod oo briwnys chiart y yannoo ayns y cooish shoh, ronsee ny Scriptyryn. Ayns shen ta ny goan shoh scruit. “Haink Yeesey Chreest gys y theihll dy hauail peccee.” (1 Tim. i. 15.) Nish c’red t’ou smooniaght? Vel uss ayns earroo yn vooinjer haink eshyn dy hauail ny mannagh vel?",14,,
"P. But he will not, he does not save all sinners.","F. Agh cha jean eh, as cha vel eh sauail dy chooilley ghooinney peccoil.",14,,
"M. That is because they will not come to him, to be saved. Of this he complains, John v. 40, Ye will not come to me that ye may have life.","B. Ta shen, er yn oyr nagh jean ad cheet huggey dy ve er nyn sauail. Jeh shoh t’eh hene gaccan. “Cha vel shiu booiagh cheet hym’s dy vod yn vea y ve eu,” (Ean v. 40.)",14,,
"P. But I find certain conditions mentioned, necessary to qualify men, which I fear I have not. It is said, repent, and believe the gospel; and, he that believeth, and is baptized, shall be saved.","F. Agh ta mee feddyn conaantyn er ny hirrey dy yannoo sleih cooie son saualtys, as ta mee goaill aggle nagh vel mee er chooilleeney ad. Ta’n sarey shoh er ny choyrt. “Gow jee arrys as chredjee yn sushtal,” —as t’eh scruit, “bee eshyn ta chredjal as ta bashtit, er ny hauail.”",14,,
"M. If you are weary with the burden of sin, loath it, and earnestly desire to be saved from the guilt and pollution of it; —a true repentance is begun in you. And if for this purpose you apply unto Christ as held forth in the gospel, this is the faith that saveth. And for baptism,—you are already baptized with water: and if you are willing to renew and confirm your baptismal vow, come unto Christ, out of his fulness to receive the inward and spiritual grace, a death unto sin, and a new birth unto righteousness; for he alone can give it.","B. My t’ou “deinagh as trome laadit” lesh errey dty pheccaghyn my t’ou choyrt dwoaie da dy chooilley veechraueeaght, as my t’ou dy jeean geearree dy ve er dt’eaysley veih  loght as broid peccah, ta arrys firrinagh er ghoaill toshiaght aynyd. As my t’ou jeeaghyn gys Chreest myr t’eh soit magh ayns y Tushtal, dy chur dhyt lheid y livreys, shoh yn credjue ta cur lesh saualtys. Tar dys Chreest dy vod oo ass y laanid echeysyn cosney yn grayse er-cheusthie as spyrrydoil, baase dys peccah, as bea noa dys cairys. She eshyn ny lomarcan oddys shoh y choyrt.",14,"B. My t’ou “deinagh as trome laadit” lesh errey dty pheccaghyn my t’ou choyrt dwoaie da dy chooilley veechraueeaght, as my t’ou dy jeean geearree dy ve er d’eaysley veih  loght as broid peccah, ta arrys firrinagh er ghoaill toshiaght aynyd. As my t’ou jeeaghyn gys Chreest myr t’eh soit magh ayns y Tushtal, dy chur dhyt lheid y livreys, shoh yn credjue ta cur lesh saualtys. Tar dys Chreest dy vod oo ass y laanid echeysyn cosney yn grayse er-cheusthie as spyrrydoil, baase dys peccah, as bea noa dys cairys. She eshyn ny lomarcan oddys shoh y choyrt.",
"P. It is said, many shall seek to enter in, and shall not be able; and, not everyone that saith unto me, Lord! Lord! shall enter into the kingdom of heaven. This makes me fear and keep at a distance.","F. T’eh er ny gra, “nee ymmodee shirrey goll stiagh, agh cha jig eh lhieu;” “as cha nee dy  chooilley unnane jir rhyms, Hiarn! Hiarn! hed stiagh ayns reeriaght niau.” Ta shoh dy m’agglaghey as coyrt orryms shassoo foddey jeh. ",14,,
M. Whither then do you intend to go?,B. C’raad eisht t’ou chiarail dy hirrey cooney?,15,,
P. I know no place; for there is no other name under heaven whereby one may be saved. ,"F. Cha vel fys aym, son cha vel ennym erbee elley fo niau liorish oddys mayd v’er nyn sauail.",15,,
"M. Then apply to Christ —to escape the wages of sin, the curse of, the law, and the wrath of God: Fly to him for pardon, and peace, grace and glory. And, if seeking to enter into the kingdom is not enough, strive. If many that say, Lord! Lord! fail, let this be the language of your heart and life, as well as of the tongue. Not that, after all, any diligence and strength of yours is the thing which will gain acceptance. But when faith is true, lively, and saving, it will be attended with these and the like works.","B. Shir eisht gys Chreest; dy vod oo v’er ny livrey veih faill peccah, veih mollaght y leigh, as veih jymmoose YEE; shir huggey son pardoon as shee, grayse as gloyr; as mannagh vel shirrey goll stiagh ayns y reeriaght dy liooar, streeu dy gholl stiagh. My ta ymmodee ta geamagh Hiarn! Hiarn! cheet giare jeh niau, lhig da dty chree as dty vea loayrt yn ghlare shoh chammah as dty hengey. Cha nee, lurg ooilley, dy vod niart ny jeeanid erbee t’aynyds cosney saualtys, agh raad ta credjue firrinagh bioal as breeoil, nee eh gymmyrkey magh lheid ny obbraghyn shoh. ",15,,
"P. This is what I fear, that my faith is not true faith.","F. Shoh ta mee goaill aggle jeh, nagh vel my chredjue firrinagh.",15,,
"M. If your faith is true faith, you will have confidence in nothing in yourself, no works or strength of your own; but you will rest solely on God’s promise of mercy made in Christ. A true faith will also in some degree, be lively, shewing itself in a zeal for God and godliness, and a steady warfare against sin. And this will be also saving: You will be thereby saved not only from guilt, but from the power of sin, and the dominion of your lusts; and this will give you a good hope and expectation, and by degrees, a firm persuasion, of being saved from wrath in the great day of the Lord Jesus.","B. My ta dty chredjue’s firrinagh, cha der oo dty varrant er nhee erbee t’ou hene jannoo, agh bee dty slane treishteil ayns y gialdyn dy vyghin ta JEE er choyrt dooin ayns Chreest Yeesey. Bee chredjue firrinagh myrgeddin bioal as breeoil, soilshaghey eh hene ayns yeearree jeean dy hirveish JEE; as dy choyrt craueeaght er-y-hoshiaght, as ayns caggey dy dunnal noi peccah; as ver lheid y chredjue saualtys myrgeddin; bee oo er dty hauail cha nee ynrycan veih loght agh veih reill pheccah; as ver shoh dhyt treishteil fondagh jeh ve er dty hauail veih jymmoose ayns laa mooar yn Chiarn Yeesey.",15,"B. My ta dty chredjue’s firrinagh, cha der oo dty varrant er nhee erbee t’ou hene jannoo, agh bee dty slane treishteil ayns y gialdyn dy vyghin ta JEE er choyrt dooin ayns Chreest Yeesey. Bee chredjue firrinagh myrgeddin bioal as breeoil, soilshaghey eh hene ayns yeearree jeean dy hirveish JEE; as dy choyrt craueeaght er-y-hoshiaght, as ayns caggey dy dunnal noi peccah; as ver lheid y chredjue saualtys myrgeddin; bee oo er dty hauail cha nee ynrycan veih loght agh veih reill pheccah; as ver shoh dhyt treishteil fondagh jeh ve er dy hauail veih jymmoose ayns laa mooar yn Chiarn Yeesey.",
P. I cannot find I have this faith; therefore dare not believe that God will forgive and receive me.,"F. Cha noddym fakin dy vel y credjue shoh aym, as shen-y-fa cha vel dunnallys aym dy chredjal dy jean JEE leih dou as mee y ghoaill stiagh dys ghloyr.",15,,
"M. Then come unto Christ, embrace and depend on God’s promises in him, that your faith may grow up to this. For this faith itself is of the operation of the spirit of God, and therefore to be sought of him by prayer, through the mediation of Jesus Christ.","B. Tar eisht dys Chreest, gow greme er ghialdinyn YEE aynsyn, dy vod dty chredjue bishaghey myr shoh. Son ta’n eer chredjue shoh “obbragh breeoil Spyrryd Yee,” as er yn oyr shen dy ve er ny hirrey veihsyn liorish padjer jeean trooid toilchinys Yeesey Chreest.",15,,
"P. I dare not thus embrace the promises, come to and depend on Christ, for I am utterly unworthy of the least mercy.","F. Cha noddym myr shoh ghoaill greme er ny ghialdinyn as cur my varrant er Chreest, son ta mee  ooilley-cooidjagh neufeeu jeh’n vyghin sloo.",15,,
M. When do you think you shall make yourself worthy?,B. Cre’n tra t’ou smooniaght dy nod oo oo hene y yannoo feeu?,16,,
P. Never.,F. Cha nod dy bragh.,16,,
"M. Then come to him just as you are, to be made worthy.",B. Eisht tar huggey chiart myr t’ou dy ve jeant feeu.,16,,
"P. May I dare thus to come to Christ, and depend upon him for salvation?",F. Vel kied aym dy heet myr shoh gys Chreest as dy chur my varrant er son saualtys?,16,,
"M. Do not depend upon my word, but hear the word of God. He invites you to come: Ho! every one that thirsteth, come ye to the waters, Isa. lv. 1. He commands you to come: This is his commandment, that we should believe on the name of his Son Jesus Christ. He promises to receive them that come: Him that cometh unto me I will in no wise cast out, John vi. 37. He threatens if you do not come: He that believeth not shall he damned, Mark xvi. 16.","B. Clasht rish Goo Yee T’eh cuirrey oo dy heet. “Ho! dagh unnane ta paagh, tar-jee gys ny ushtaghyn.” (Isa. lv. 1.) T’eh coyrt sarey dhyt dy heet. “Shoh yn sarey echey dy jean mayd credjal ayns ennym e Vac Yeesey Chreest.” (1 Ean iii. 23.)[14] T’eh ghialdyn dy ghoaill adsyn ta cheet: “Eshyn ta cheet hym, cha jean-ym er aght erbee y yiooldey voym.” (Ean vi. 37.) T’eh baggart [sic: baggyrt] mannagh jig oo “bee eshyn nagh jean chredjal er ny gheyrey. (Mark xvi. 16.)",16,,"[14] The Manx text adds the NT reference, absent from the English editions we have seen."
P. But to whom are these words addressed?,F. Agh quoi yn vooinjer rhoo ta ny goan shoh loayrit?,16,,
"M. To you, to me, and to every one that hears them: Preach the gospel to every creature, Mark xvi. 15. They are addressed to those in particular, that see their want of salvation, because they alone will receive them. Come unto me, all ye that labour and are heavy laden, and I will give you rest, Matt. xi. 28.","B. Rhyt’s as rhym’s as rish dy chooilley unnane ta clashtyn ad; “jean-jee yn Sushtal y phreacheil da dy chooilley chretoor.” (Mark xvi. 15.) T’ad loayrit er-lheh dauesyn ta fakin nyn veme jeh saualtys, er-yn-oyr dy nee adsyn ny lomarcan nee goaill ad. “Tar-jee hym’s ooilley shiuish ta deinagh as trome-laadit as neem’s shiu y ooraghey,” (Mian xi. 28.)",16,,
P. These arguments from scripture stop my mouth. But still I cannot believe Christ will receive such a sinner as I am. ,"F. Cha vel ny prowallyn shoh veih ny Scriptyryn casherick fagail veg dou dy gra, agh whoast cha noddym credjal dy jean Creest goaill rish dooinney cha peccoil as ta mee gennaghtyn mee hene dy ve.",16,,
"M. This is what I said before: Faith is not of man, but the gift of God, wrought by the spirit in them that hear the gospel. Therefore seek this and every other grace of God by prayer in the name of Jesus. And to encourage you to pray and hope, consider that God gave Christ for this very purpose, to save sinners: For this he came into the world; for this he laboured, wept, and bled; for this he reigns and intercedes in heaven. He is so far from being unwilling to save, that he is offended with those who will not come to him to be saved. When he was upon earth, he wept over Jerusalem on this account.","B. Shoh eh dooyrt mee roïe. Cha vel credjue jeh dooinney agh Gioot Yee eh, obbryt liorish y Spyrryd Casherick ayndoosyn ta clashtyn y Sushtal. Shen-y-fa shir shoh as dy chooilley grayse elley veih JEE liorish padjer jeean ayns ennym Yeesey. As dy ghriennaghey oo dy hirrey as dy hreishteil, smooinee dy dug Jee e Vac ynrycan gys y theihll son yn eer oyr shoh, “dy hauail peccee;” son yn oyr shoh haink Creest stiagh ’sy theihll; son yn oyr shoh v’eh deinagh as trimshagh, as ren eh e uill y gheayrtey; as son yn oyr shoh t’eh reill as loayrt ass nyn leih ayns  Niau. T’eh choud woish ve neu-arryltagh dy hauail, dy vel eh corree roosyn ta neu-wooiagh dy heet huggey son saualtys. Tra v’eh er y thalloo, cheayn eh harrish Jerusalem er yn oyr shoh.",16,,
P. I know not what to say.,F. Cha vel fys aym c’red dy gra.,17,,
M. What do you intend to do?,B. C’red t’ou kiarail dy yannoo?,17,,
"P. I am greatly afraid I shall never be saved. But I know there is no other way but God’s free mercy in Christ. Therefore will I seek it as long as I live, and, if I perish, it shall be at the foot of Christ’s cross, calling for mercy.","F. Ta atchim trome er ghriemmey mee nagh beem dy bragh er my hauail. Agh ta mee fakin nagh vel aght erbee elley dy chosney saualtys agh liorish grayse nastee YEE ayns Creest. Shen-y-fa neem shoh y hirrey choud as veem bio, as my ta mee cherraghtyn neem cherraghtyn ec Crosh Chreest, geamagh son myghin.",17,,
"M. Continue this resolution, and all the precious promises in the gospel are your own. But take heed that you do not suffer these impressions to wear away, and so settle in a false peace. Do not seek rest any where but in Christ. Beware lest worldly cares or pleasures divert your attention from the things of God, and lest sin grieve the Holy Spirit. Remember it is said, If a man draw back, my soul shall have no pleasure in him. ","B. Cum shickyr yn chiarail shoh as lhiat’s vees ooilley ghialdynyn ooasle y Tushtal; agh cur twoaie nagh lhig oo da’n ennaghtyn shoh lheïe ersooyl, as oo y aagail ayns shee foalsey. Ny shir fea raad erbee agh ayns Chreest; ny lhig da chiarailyn ny eunyssyn seihltagh goaill ersooyl dt’aigney veih ny reddyn ta lesh JEE, as bee er dty arrey nagh der oo corree er y Spyrryd Casherick liorish peccah. Cooinnee dy vel eh er ny ghra, “my ver dooinney erbee cooyl gys y chredjue, cha gow m’annym veg y taitnys ayn.”",17,"B. Cum shickyr yn chiarail shoh as lhiat’s vees ooilley ghialdynyn ooasle y Tushtal; agh cur twoaie nagh lhig oo da’n ennaghtyn shoh lheïe ersooyl, as oo y aagail ayns shee foalsey. Ny shir fea raad erbee agh ayns Chreest; ny lhig da chiarailyn ny eunyssyn seihltagh goaill ersooyl dt’aigney veih ny reddyn ta lesh JEE, as bee er dty arrey nagh der oo corree er y Spyrryd Casherick liorish peccah. Cooinnee dy vel eh er ny ghra, “my ver dooiney erbee cooyl gys y chredjue, cha gow m’annym veg y taitnys ayn.”",
,,17,,
DIALOGUE III.,YN TRASS AYRN.,17,,
,,17,,
"P. SIR, I hope you will not be offended at the trouble I give you: but I want your advice very much.",F. Ta mee treishteil nagh bee shiu corree rhym son ghoaill seose y traa eu. Agh ta mee ayns lane feme jeh’n choyrle eu.,17,,
"M. You need make no compliments, my friend; I should be glad if all the people in my parish would give me the same trouble you do. But what is the matter?",B. Cha lhiass dhyt jannoo leshtal erbee My Charrey! Veagh eh red taitnyssagh dou dy darragh dy chooilley ghooinney ’sy skeerey hym er y cooish cheddin. Agh c’red ta jannoo ort?,17,,
"P. I have been for some time so as I was never in my life before: I have been afraid I should be damned. This hath filled me with thoughts and fears day and night. You had no need to caution me against the danger of worldly cares and pleasures: for wherever I was, or whatever I have been doing, my sins and hell have still been before my eyes. ","F. Ta mee er n’ennaghtyn mee hene yn tammylt shoh myr nagh ren mee rieau roïe. Ta mee er ve fo aggle jeh cherraghtyn son dy bragh. Ta shoh er lhieeney mee lesh smooinaghtyn atchimagh oie as laa. Cha row eh ymmyrchagh dy chur raue dou dy ve er my arrey noi chiarailyn as eunyssyn seihltagh, son cre erbee yn raad ta mee er ve, ny cre erbee ta mee er ve cur rish, ta my pheccaghyn as Niurin er ve kinjagh roish my hooillyn.",17,,
M. What have you thought of your sins? in what light have they appeared to you?,B. Cre’n ennaghtyn t’er ve ayd jeh dty pheccaghyn? ,17,,
"P. Sins committed many years ago have now risen in my mind, and condemned me. The remembrance of the sins of my youth has followed me, as if committed but yesterday. And some awful scriptures, that I have heard and read, seem to be the sentences of my condemnation. I believe I have thought an hundred times of these words: The wages of sin is death."," F. Ta ny peccaghyn va jeant ymmodee bleeantyn er dy henney er droggal nish ayns my aigney, as er my gheyrey. Ta cooinaghtyn jeh loght my aegid er n’eiyrt orrym myr dy nee jea va mee er chur rish eh. As ta ayrnyn ennagh agglagh jeh Ghoo YEE ta mee er lhaih, as er clashtyn, jeeaghyn dy ockley magh briwnys m’oi. Ta mee credjal dy vel mee er smooinaghtyn keead cheayrt er ny goan shoh. “She faill peccah yn baase.”",18,,
"M. Have you been looking into your heart, and seen and lamented the corruption there? ","B. Vel oo er yeeaghyn stiagh ayns dty chree, as er n’akin yn vroid t’ayns shen, as er ve trimshagh er y hon?",18,,
"P. I did not use to understand what you meant by looking into the heart; but I think I do now. I find in myself a strong inclination to many sins, though I am convinced that I deserve God’s wrath on account of complying with these inclinations heretofore. Indeed it is much better with me now than it was. Formerly I have been led by my own wicked heart to delight in idle company; to talk of myself in an empty vain manner; to be greedy after the world; to pass slightly over, or entirely neglect, prayer and other duties, as a tedious burden, and be guilty of other sins. At present, I bless God, it is not so; but all my thoughts are in a manner taken up about the care of my soul, and the world to come.","F. Cha row mee toiggal ’sy traa shen t’er n’holl shiaghey c’red ve dy yeeaghyn stiagh ayns y chree, agh nish ta mee sheiltyn dy vel mee toiggal c’red t’eh. Ta mee feddyn aynym pene yeearree jeean dy chur-rish peccah, ga dy vel mee fakin dy vel mee dy cairagh er vrasnaghey corree YEE m’oi liorish chur raad da’n yearree shoh ’sy traa t’er gholl shiaghey. Ta mee dy jarroo ayns stayd foddey share na va mee. Va mee roïe er my hayrn liorish my chree meechrauee dy ghoaill taitnys ayns sheshaght rouanagh, dy haggloo jeem pene lesh ghloyr fardalagh, dy ve seaghnit as imneagh mysh y theihll; dy lhiggey-shiaghey padjer as currymyn crauee elley myr errey trome; as dy chur raad da ymmodee peccaghyn elley. Agh booise gys JEE, cha vel eh myr shoh nish; agh ta my smooinaghtyn faggys ooilley-cooidjagh goit seose liorish kiarail my annym as cooishyn y vea ta ry-heet.",18,"F. Cha row mee toiggal ’sy traa shen t’er n’holl shiaghey c’red ve dy yeeaghyn stiagh ayns y chree, agh nish ta mee sheiltyn dy vel mee toiggal c’red t’eh. Ta mee feddyn aynym pene yeearree jeean dy chur-rish peccah, ga dy vel mee fakin dy vel mee dy cairagh er vrasnaghey corree YEE m’oi liorish chur raad da’n yearree shoh ’sy traa t’er gholl shiaghey. Ta mee dy jarroo ayns stayd foddey share na va mee. Va mee roïe er my hayrn liorish my chree meechrauee dy ghoaill taitnys ayns sheshaght rouanagh, dy haggloo jeem pene lesh ghloyr fardalagh, dy ve seaghnit as imneagh mysh y theihll; dy lhiggey-shiaghey padjer as currymyn crauee elley myr errey trome; as dy chur raad da ymmodee peccaghyn elley. Agh booise gys JEE, cha vel eh myr shoh nish; agh ta my smooinaghtyn fa?gys ooilley-cooidjagh goit seose liorish kiarail my annym as cooishyn y vea ta ry-heet.",
"M. I fear you do not know your heart so well as you imagine. You seem to think that all things are already become new in you. But be not deceived: such a cage of unclean birds, as the heart of every man is by nature, is not so soon cleansed from its various lusts and vile affections. These that seemed to be rooted out, are only asleep for a season: be watchful therefore; they will one day awake again. Some of them, probably, are only exchanged for others, as bad and dangerous, such as pride, presumption, and the like.","B. Ta mee ghoaill aggle nagh vel toiggal cha firrinagh ayd jeh shen t’ayns dty chree as t’ou smooniaght. T’ou jeeaghyn ort hene myr dy slane caghlaait; agh ny bee mollyt; cha vel cree dy chooilley ghooinney ta liorish dooghys cha lane dy vroid dy ve cha leah er ny ghlenney veih ooilley e hayntyn as e yeearreeyn neughlen. Ta nyn lheid as ta jeeaghyn dy ve astyrit ass ny fraueyn ynrican nyn gadley son tammylt. Bee er dty arrey eisht, nee ad doostey reesht. Foddee dy vel paart jeu ynrycan er nyn goonrey son peccaghyn elley ta chiart cha olk as cha  dangeragh, myr moyrn, treishteil fardalagh, as nyn lheid. ",18,,
"P. Really, Sir, I have had some fear of that. For you must know, that one day I was thinking what a sinful wretch I was, and what would become of me in the next world; when these words came strongly into my mind, I will heal their backslidings, I will love them freely. I am sure they are somewhere in the Bible, but I cannot find them. However, they gave me much comfort, and I have been very easy ever since. Now a neighbour, that I have been talking with, tells me, “this is to be looked on as the word of God,” and that I am henceforth to look on myself as a converted man. But I fear this would be presumption. Now what do you think of this?","F. Dy firrinagh ta keint dy aggle orrym jeh shen, son sheign dou ginsh diu choud’s va mee smooinaghtyn cre cha peccoil as va mee, as c’red veagh my cronney ayns y theihll ta ry-heet haink ny goan shoh dy breeoil ayns my aigney. “Neem’s lhiasaghey nyn loghtyn, ver-ym graih daue dy arryltagh.” Ta mee shickyr dy vel ad raad ennagh ayns ny Scriptyryn, agh cha noddin ad y gheddyn magh. Hug ad lane gerjagh dou as ta mee er ve ec fea er dy hienney. Nish ta naboo t’er ve loayrt rhym ginsh dou “dy lhisin jeeaghyn er shoh myr obbyr Yee,” as dy vel mee veih’n traa shoh magh dy choontey jeem pene myr dooinney caghlait. Agh ta mee goaill aggle dy beagh eh daaney dy smooniaght myr shen. Nish c’red ta shiuish coontey jeh shoh?  ",19,,
M. I must desire some time to observe your temper and conduct before I can resolve this question. ,B. Sheign dou traa y ghoaill dy chur tastey da Spyrryd dt’aigney as dt’ymmyrkey-bea roish oddin’s briwnys y choyrt ’sy cooish shoh. ,19,,
"The words you mentioned are in the prophet Hosea, xiv. 4. They were perhaps spoken more immediately of the restoration of the captive Jews: but they contain a sweet promise perfectly in the gospel strain, and are therefore free for every humble soul to embrace by faith. The Prophet, you see, at verse 1, 2, 3, exhorts the people to repentance and humiliation for sin; O Israel, return unto the LORD thy GOD; for thou hast fallen by iniquity. Take with you words, and turn to the Lord. Say unto him, take away all iniquity, and receive us graciously —For in thee the fatherless findeth mercy. Now, as God hath given you a sense of your sinful, helpless state, and a desire of turning to him, like this which the Prophet describes as preparatory to an answer of peace, I hope the following promise belongs to you: I will heal their backslidings, I will love them freely; for mine anger is turned away from him, verse 4. I hope too, that the comfort, which you found in applying the promise to yourself by a particular faith, proceeded from the Spirit of God: in the same manner as I look on that conviction of sin, which filled you with fear and self-abasement, when you called to mind your sinfulness, and God’s Judgment denounced against sinners, to be the work of the same Spirit. For it is he that convinceth the world of sin and of righteousness. But this I must tell you: all these feelings are to be suspected, till we see what fruit follows in the heart and life. For, though these are sometimes owing to the Spirit of God, and come well recommended, when, as in your case, they are so closely connected with the word of God; yet the enemy of souls sometimes imitates these sensible experiences in order to deceive. And, it is impossible to say how much our natural. temper and spirits may contribute thereto.","Ta ny goan t’ou er loayrt jeu ayns lioar y Phadeyr Hosea  xiv. Cab;[15] v’ad focklyt magh er-lheh mychione chyndaa ny Hewnyn veih cappeeys; agh t’ad myrgeddin fockley magh ghialdyn graysoil as ayns bree yn Sushtal, as shen-y-fa foddee dy chooilley annym imlee goaill greme er liorish credjue. Ta’n Phadeyr hoshiaght coyrlaghey yn pobble dys arrys. “O Israel chyndaa gys y Chiarn dty YEE; son t’ou er duittym liorish dty veechairys hene. Gow-jee meriu goan arryssagh, as chyndaa-jee gys y Chiarn; abbyr-jee rish, “Gow ersooyl dy chooilley veechairys, as jean soiaghey graysoil jin, son aynyd’s ta’n chloan gyn-ayr geddyn myghin”—Nish myr ta JEE er choyrt dhyt ennaghtyn jeh dty stayd peccoil as treih, as yeearree dy hyndaa huggey; casley rish shoh ta’n Phadeyr loayrt jeh; ta mee treishteil dy vel ayrn ayd ayns y ghialdyn t’eh fockley magh “neems lhiasaghey nyn loghtyn, ver ym graih daue dy arryltagh son ta my chorree er ny hyndaa ersooyl voish.” Ta mee treishteil dy nee woish Spyrryd YEE haink y gerjagh ren oo feddyn ayns goaill y gialdyn shoh hood hene: ayns yn aght cheddin as ta mee jeeaghyn er yn ennaghtyn shoh dy pheccah ren oo y lhieeney lesh aggle as trimshey, tra v’ou cooniaghtyn er olkys dty raadjyn as briwnyssyn YEE er peccee dy ve obbyr yn Spyrryd cheddin. Son she eshyn eh ta “deyrey yn seihll mychione peccah as cairys as briwnys.”  Agh shoh sheign dou ginsh dhyt; ta ooilley lheid ny yeearreeyn as ennaghtyn, prowallyn faase as neuhickyr jeh caghlaa spyrrydoil, derrey ta shin fakin cre’n mess ta geiyrt orroo ayns y chree as y vea. Son ga dy vel ny reddyn shoh ny cheayrtyn cheet woish Spyrryd YEE, as dy ve goit myr cowraghyn mie, tra t’ad dy kiart cordail rish Ghoo YEE, myr ayns y cooish ayds, ny yeih ta noid-ny-hanmey ny cheayrtyn gobbraghey ayns aght casley rish shoh dy volley peccee, as dy chur ad ershaghryn.",19,,"[15] The Manx replaces the reference to the verse (4) with Cab., i.e. Cabdil ‘Chapter’, and thus later eliminates the specific mention of verses 1-3."
"P. Pray, Sir, tell me plainly, what you think of my state.",F. Ta mee guee erriu insh-jee dou dy baghtal c’red ta shiu smooniaght jeh my stayd.,,,
"M. Satan, I tell you, sometimes puts on the appearance of an angel of light, in order to deceive. Those sensible experiences sometimes vouchsafed by the Spirit of God, and impressions made on men’s minds, of which sort are what the scriptures term peace in believing, and joy in the Holy Ghost: these the enemy sometimes imitates, and thereby deludes hypocrites into spiritual pride, and even. the godly sometimes, so as to puff them up, and make them secure and careless. But there are two tokens of grace, which the devil will not, cannot effect: these are an holy heart, steadily hating sin; and an holy life, having respect to all God’s commandments. Have these, and evidence the one by the other; and continue for some considerable time thus to adorn your profession. —Then I shall not have the least doubt but you are in a state of grace. ",[16],20,,[16] The Manx omits the Minister’s answer here; the Parishioner’s remarks continue without a break.
"P. As far as I know my own heart, I would not willingly offend God for the whole world. I love those that seem to be his servants, and would go upon my hands and knees to do them good, or to make others like them. I love to hear his word, to pray, and to talk of good things; and, I think, I could die with pleasure, if it was his will.","F. Choud’s ta mee toiggal my chree cha jinnin son y slane seihll corree y choyrt er JEE jeh my yioïn. Ta mee graihagh orroosyn ta jeeaghyn dy ve e Harvaantyn, as yinnin shooyl er my laueyn as my ghlioonyn dy yannoo mie daue, ny dy chur er feallagh elley dy ve casley roo. Ta mee goaill taitnys ayns clashtyn Ghoo YEE, ayns goaill padjer as loayrt jeh reddyn mie; as ta mee smooinaghtyn dy jinnin dy arryltagh baase y hurranse dy beagh eh yn aigney echeysyn.",20,,
